aba,eo6bu1e
abandır,eo6bu1ebo1dyr
abanla,eo6bu1ebo1le
acıklan,eo6xu1yfo2lebo1
acıktır,eo6xu1yfo2dyr
acın,eo6xu1ybo1
acındır,eo6xu1ybo1dyr
acıt,eo6xu1ybo2
adat,eo6debo2
addet,adeybo2
adla,eo6dle
adlan,eo6dlebo1
adımla,eo6dymle
afalla,eo6fo1elle
afallat,eo6fo1ellebo2
afallaş,eo6fo1ellso3
aforozla,eo6fo1wrwro1le
ahdet,ahdebo2
ahidleş,ahdlso3
ahırla,eo6xo1wrle
akdet,afo2deybo2
aksat,eo6fo2sebo2
aksır,eo6fo2syr
aksırt,eo6fo2syrbo2
aktar,eo6fo2bo2er
akıt,eo6fo2ybo2
akşamla,eo6fo2so3emle
akşamlat,eo6fo2so3emlebo2
aldan,eo6ldebo1
aldat,eo6ldebo2
aldır,eo6ldyr
alevlen,alw||lbo1
alevlen,eo6lw||lbo1
alevlendir,alwlbo1dyr
alevlendir,eo6lwlbo1dyr
alkışla,eo6lfo2yso3le
alkışlan,eo6lfo2yso3lebo1
altmışla,eo6lbo2mso3le
altınla,eo6lbo2wbo1le
alçal,eo6lxu3el
alçıla,eo6lxu3yle
alıko,eo6lyfo2w
alıver,eo6lywyr
alıştır,eo6lyso3bo2r
alışıl,eo6lyso3l
an,eo6lo5o3
anaçla,eo6bo1exu1le
andlaş,eo6bo1dleso3
andır,eo6bo1dyr
anla,eo6lo5o3le
anlan,eo6lo5o3lebo1
anlat,eo6lo5o3lebo2
anlatdır,eo6lo5o3lebo2dyr
anlatıl,eo6lo5o3ledyl
anlaş,eo6lo5o3leso3
anlaşıl,eo6lo5o3leso3l
anıl,eo6lo5o3l
anır,eo6lo5o3yr
anırt,eo6lo5o3yrbo2
apar,eo6bu3er
arala,eo6rele
aralan,eo6relebo1
aralat,eo6relebo2
aralaş,eo6releso3
aran,eo6rebo1
aranıl,eo6rebo1yl
arat,eo6rebo2
arattır,eo6rebo2dyr
araştır,eo6reso3dyr
arlan,aerlebo1
arpala,eo6rbu3ele
arsızlan,aersro1lebo1
artdır,eo6rbo2dyr
artdırıl,eo6rbo2dyryl
arttır,eo6rbo2dyr
arttırıl,eo6rbo2dyryl
artır,eo6rbo2yr
arzet,arzo1 eybo2
arzula,eo6rro1wle
arıkla,eo6ryfo2le
arıklan,eo6ryfo2lebo1
arıklat,eo6ryfo2lebo2
arıl,eo6ryl
arın,eo6rybo1
arıt,eo6rybo2
arşınla,eo6rso3ybo1le
as,eo6z
asdır,eo6zdyr
astarla,eo6sbo2erle
asıl,eo6zyl
ateşle,eo6bo2so3l
ateşlen,eo6bo2so3lbo1
ateşlendir,eo6bo2so3lbo1dyr
atfet,atfo1 eybo2
atkıla,eo6bo2fo2yle
atla,eo6bo2le
atlandır,eo6bo2le||bo1dyr
attır,eo6bo2dyr
atıl,eo6bo2yl
atıştır,eo6bo2yso3dyr
avla,eo6wle
avlan,eo6wlebo1
avun,eo6wwbo1
avut,eo6wwbo1
avutdur,eo6wwbo2dr
avutul,eo6wwbo2l
avuçla,eo6wwxu1le
ayakla,eo6ye||fo2le
ayaklan,eo6yefo2lebo1
ayaklandır,eo6ye||fo2lebo1dyr
ayar,eo6yer
ayart,eo6yerbo2
ayartıl,eo6yerbo2l
ayazla,eo6yero1le
ayazlan,eo6yero1lebo1
ayazlat,eo6yero1lebo2
aydınla,eo6ydybo1le
aydınlan,eo6ydybo1lebo1
aydınlat,eo6ydybo1lebo2
aydınlaş,eo6ydybo1leso3
aydınlaşdır,eo6ydybo1leso3dyr
ayrıl,eo6yryl
ayrılan,eo6yrylebo1
ayrılaş,eo6yryleso3
ayıkla,eo6yfo2le
ayıl,eo6yyl
ayılt,eo6yylbo2
ayıpla,aybu1le
ayıplan,aybu1lebo1
ayır,eo6yyr
azadla,eo6ro1edle
azal,eo6ro1el
azalt,eo6ro1elbo2
azarla,eo6ro1erle
azarlan,eo6ro1erlebo1
azarlat,eo6ro1erlebo2
azdır,eo6ro1dyr
azdırıl,eo6ro1dyl
azlet,aro1l eybo2
azımsa,eo6ro1mse
azırgan,eo6ro1yrao1ebo1
azıt,eo6ro1ybo2
aç,eo6xu3
açtır,eo6xu3dyr
açıkla,eo6xu1yfo2le
açıl,eo6xu3l
ağalan,eo6ao1elebo1
ağar,eo6ao1er
ağart,eo6ao1erbo2
ağdalan,eo6ao1delebo1
ağdalaş,eo6ao1deleso3
ağdır,eo6ao1dyr
ağla,eo6ao1le
ağlat,eo6ao1lebo2
ağlaş,eo6ao1leso3
ağrıt,eo6ao1rybo2
ağıllan,eo6ao1yllebo1
ağırla,eo6ao1rle
ağırlan,eo6ao1rlebo1
ağırlat,eo6ao1rlebo2
ağırlaş,eo6ao1rleso3
ağırlaştır,eo6ao1rleso3dyr
ağırşaklan,eo6ao1rso3efo2lebo1
aşağıla,eo6so3eao1yle
aşla,eo6so3le
aşlat,eo6so3lebo2
aşıla,eo6so3yle
aşılan,eo6so3ylebo1
aşılat,eo6so3ylebo2
aşın,eo6so3ybo1
aşındır,eo6so3ybo1dyr
aşır,eo6so3yr
aşırt,eo6so3yrbo2
aşırıl,eo6so3yrl
badanala,bu1edebo1ele
baktır,bu1efo2dyr
bakıl,bu1efo2yl
baltala,bu1eltele
balıkla,bu1elyfo2le
ban,bu1ebo1
barın,bu1erybo1
barındır,bu1erybo1dyr
barıştır,bu1eryso3dyr
bastır,bu1ezdyr
bastırıl,bu1ezdyryl
basıl,bu1ezyl
bat,bu1ebo2
batır,bu1ebo2yr
batırıl,bu1ebo2yryl
bayatla,bu1eyebo2le
bayatlat,bu1eyebo2lebo2
bayatlaş,bu1eyebo2leso3
bayramlaş,bu1eyremleso3
bayıl,bu1eyyl
bayılt,bu1eyylbo2
bağışla,bu1eao1yso3le
başaklan,bu1eso3efo2lebo1
başar,bu1eso3er
başarıl,bu1eso3eryl
başkalaş,bu1eso3fo2h||leso3
başla,bu1eso3le
başlan,bu1eso3lebo1
başlanıl,bu1eso3lebo1yl
başlat,bu1eso3lebo2
becer,bu1xu1r
becert,bu1xu1rbo2
bekle,bu1klh||
beklen,bu1klh||bo1
beklet,bu1klh||bo2
bekleş,bu1klh||so3
belir,bu1lyr
belle,bu1lh||
bellen,bu1lh||bo1
bellet,bu1lh||bo2
benimse,bu1bo1msh||
benze,bu1lo5o3ro1h||
benzet,bu1lo5o3ro1h||bo2
besle,bu1slh||
beslen,bu1slh||bo1
beslet,bu1slh||bo2
bestele,bu1sbo2h||lh||
beyazlan,bu1yezo1lebo1
beyazlat,bu1yezo1lebo2
beyazlaş,bu1yezo1leso3
beze,bu1ro1h||
beğen,bu1ko7bo1
beğendir,bu1ko7bo1dyr
beğenil,bu1ko7bo1yl
bildir,bu1yldyr
bildiril,bu1yldyryl
bile,bu1ylh||
bilen,bu1ylh||bo1
bilet,bu1ylh||bo2
bilin,bu1ylybo1
bin,bu1ybo1
bindir,bu1ybo1dyr
binil,bu1ybo1yl
birik,bu1ryk
birikdir,bu1rykdyr
birleş,bu1rlso3
birleştir,bu1rlso3dyr
bitir,bu1ybo2yr||
bitiş,bu1ybo2yso3
bitişdir,bu1ybo2yso3dyr
bitlen,bu1ybo2lh||bo1
biç,bu1yxu3
biçdir,bu1yxu3dyr
biçil,bu1yxu3yl
bocala,bu1wxu1ele
bohçala,bu1wao1xu3h||le
bolal,bu1wlel
bollan,bu1wllebo1
bollat,bu1wllebo2
bollaş,bu1wlleso3
borçlan,bu1wrxu1lebo1
boyala,bu1wyele
boyalan,bu1wylebo1
boyalat,bu1wyelebo2
boyat,bu1wyebo2
boyla,bu1wyle
boylan,bu1wylebo1
bozar,bu1wro1er
bozdur,bu1wro1dwr
bozul,bu1wro1wl
bozuş,bu1wro1wso3
boğ,bu1wao1
boğazla,bu1wao1ero1le
boğul,bu1wao1wl
boğuş,bu1wao1wso3
boğuşdur,bu1wao1wso3dwr
boşa,bu1wso3e
boşal,bu1wso3el
boşalt,bu1wso3elbo2
boşan,bu1wso3ebo1
boşat,bu1wso3ebo2
boşatıl,bu1wso3ebo2yl
boşla,bu1wso3le
budaklan,bu1wdefo2lebo1
budan,bu1wdebo1
budat,bu1wdebo2
buhurla,bu1xo1wrle
bul,bu1wl
bula,bu1wle
bulan,bu1wlebo1
bulandır,bu1wlebo1dyr
bulaş,bu1wleso3
bulaştır,bu1wleso3dyr
buldur,bu1wlwr
bulun,bu1wlwbo1
bulundur,bu1wlwbo1dwr
bulunul,bu1wlwbo1wl
bulutlan,bu1wlwbo2lebo1
buluşdur,bu1wlwso3dwr
buna,bu1wbo1e
bunal,bu1wbo1el
bunalt,bu1wbo1elbo2
burgula,bu1wrao1wle
burkul,bu1wrfo2wl
buruş,bu1wrwso3
buruşdur,bu1wrwso3dwr
buzlan,bu1wro1lebo1
buğula,bu1wao1wle
buğulan,bu1wao1wlebo1
böceklen,bu1wxu1klh||bo1
böl,bu1wl
bölün,bu1wlwbo1
bölüştür,bu1wlwso3dwr
böğürt,bu1wko7wrbo2
bük,bu1wk
bükül,bu1wkwl
bürü,bu1wrw
bürün,bu1wrwbo1
bütünle,bu1wbo2wbo1lh||
büyüklen,bu1wywklh||bo1
büyüle,bu1wywlh||
büyülen,bu1wywlh||bo1
büyüt,bu1wywbo2
büz,bu1wro1
büzül,bu1wro1wl
bık,bu1yfo2
bıkdır,bu1yfo2dyr
bıkıl,bu1yfo2yl
bırak,bu1refo2
bırakdır,bu1refo2dyr
bırakıl,bu1refo2yl
bıyıklan,bu1yyfo2ylebo1
bıçakla,bu1yxu3efo2le
camla,xu1emle
camlat,xu1emlebo2
canlan,xu1ebo1lebo1
canlandır,xu1ebo1lebo1dyr
casusla,xu1eswsle
cavla,xu1ewle
caydır,xu1eydyr
cayırda,xu1eyyr||de
cayırdat,xu1eyyr||debo2
cem'et,xu1ma eybo2
cemile,xu1malh||
cemilen,xu1malh||bo1
cenkleş,xu1bo1keso3
cerahatlen,xu1rexbo2lh||bo1
cesaretlen,xu1serbo2lh||bo1
cezalan,xu1ro1elebo1
cezalandır,xu1ro1elebo1dyr
cilala,xu1lele
cildle,xu1ldlh||
cildlet,xu1ldlbo2
coş,xu1wso3
coşdur,xu1wso3dwr
cumbulda,xu1wmbu1wlde
cırla,xu1yrle
cırlat,xu1yrlebo2
cırtla,xu1yrbo2le
cırılda,xu1yrylde
cıvılda,xu1ywylde
cıyırda,xu1yyrde
cızla,xu1yro1le
cızılda,xu1yro1ylde
cızırda,xu1yro1yrde
cızırdat,xu1yro1yrdebo2
dadan,dedebo1
dadan,tedebo1
dadandır,dedebo1dyr
dala,dele
dala,tele
dalaş,teleso3
daldır,deldyr
dalgalan,delao1elebo1
dalgalandır,delao1elebo1dyr
dallan,dellebo1
dallandır,dellebo1dyr
damgalan,demao1elebo1
damlat,demlebo2
danele,debo1h||l
danelendir,debo1h||lbo1dyr
danelet,debo1h||lbo2
danış,debo1yso3
danış,tebo1yso3
daral,derel
daral,terel
daralt,derelbo2
daralt,terelbo2
darlat,derlebo2
darlaş,derleso3
darlaşdır,derleso3dyr
darıl,deryl
darıl,teryl
darılt,derylbo2
davran,dewrebo1
davrandır,dewrebo1dyr
daya,deye
dayakla,deyefo2le
dayan,deyebo1
dayan,teyebo1
dayat,deyebo2
dağla,deao1le
dağlat,deao1lebo2
dağıl,deao1yl
dağıt,deao1ybo2
dağıt,teao1ybo2
dağıtıl,deao1ybo2yl
de,d
de,dy
debelen,dbu1h||lbo1
defet,dfo1a eybo2
defnet,dfo1bo1 eybo2
del,dl
deldir,dldyr
delin,dlybo1
delir,dlyr
delirt,dlyrbo2
demetle,dmbo2lh||
den,dybo1
dene,dbo1h||
denen,dbo1h||bo1
denenil,dbo1bo1yl
denet,dbo1h||bo2
denil,dybo1l
denkleş,dbo1klso3
denkleşdir,dbo1klso3dyr
depret,bo2bu3rbo2
depret,dbu3rh||bo2
depreşdir,dbu3rso3dyr
dercet,drxu1 eybo2
derdlen,drdlh||bo1
derdleş,drdlh||so3
derilen,drylbo1
derinlet,drybo1lh||bo2
derinleş,drybo1lh||so3
destekle,dsbo2klh||
desteklen,dsbo2klh||bo1
devir,dwyr
devirt,dwyrbo2
devril,dwryl
devşir,dwso3yr
devşirt,dwso3yrbo2
değ,dko7
değiştir,dko7yso3dyr
deşil,dh||so3yl
deşil,dso3ly
didikle,dydyklh||
didin,dydybo1
didiş,dydyso3
dikdir,dykdyr
dikil,dykyl
dile,dylh||
dilen,dylbo1
dillen,dyllbo1
dilleş,dyllyso3
din,dylo5o3
dindirt,dykdyr
dinle,dyklh||
dinlen,dyklbo1
dinlendir,dyklbo1dyr
diren,dyrh||bo1
diril,dyryl
dirilt,dyrylbo2
dizdir,dyro1dyr
dizil,dyro1yl
dişle,dyso3l
doku,dwfo2w
doku,twfo2w
dokun,dwfo2wbo1
dokun,twfo2wbo1
dokundur,dwfo2wbo1dyr
dokunul,dwfo2wbo1l
dokut,dwfo2wbo2
dokut,twfo2wbo2
dol,dwl
dol,twl
dola,dwle
dolandır,dwlebo1dyr
dolaş,twleso3
dolaşdır,dwleso3dyr
dolaştırıl,dwleso3dyryl
doldurt,dwldwrbo2
doldurul,dwldwrl
don,twlo5o3
donan,dwbo1ebo1
donat,dwbo1ebo2
donat,twbo1ebo2
donatdır,dwbo1ebo2dyr
donatıl,dwbo1ebo2yl
dondur,dwbo1dwr
dondur,dwlo5o3dyr
donuklan,dwbo1wfo2lebo1
doy,dwy
doy,twy
doyrul,dwyrwl
doyrul,twyryl
doyul,dwywl
doyur,dwywr
doyur,twywr
doğ,dwao1
doğ,twao1
doğra,dwao1re
doğra,twao1re
doğrat,dwao1rebo2
doğrat,twao1rebo2
doğrul,dwao1rwl
doğrula,dwao1rwle
doğrult,dwao1rwlbo2
doğur,dwao1wr
doğur,twao1wr
doğurt,dwao1wrbo2
dumanla,dwmebo1le
dumanlan,dwmebo1lebo1
durakla,dwrefo2le
durakla,twrefo2le
durdur,dwrdwr
durdur,twrdyr
durul,dwrwl
durul,twrl
durul,twrwlebo1
durula,dwrwle
durulan,dwrwlebo1
durult,dwrwlbo2
duvaklan,dwwefo2lebo1m
duy,dwy
duy,twy
duyul,dwywl
duyur,dwywr
dök,dwk
dökdür,dwkdyr
dökül,dwkwl
dön,dwbo1
döndür,dwbo1dyr
dönül,dwbo1wl
dönüşdür,dwbo1wso3dyr
döğ,dwko7
döğdür,dwko7dyr
döğül,dwko7wl
döğün,dwko7wbo1
döğüş,dwko7wso3
döşe,dwso3h||
döşen,dwso3bo1
döşet,dwso3bo2
döşetdir,dwso3bo2dyr
dür,dwr
dürt,dwrbo2
dürül,dwrwl
düzel,dwro1h||l
düzelt,dwro1h||lbo2
düzle,dwro1lh||
düzlen,dwro1lh||bo1
düğmele,dwko7mh||l
düğmelen,dwko7mh||lbo1
düğümle,dwko7wmlh||
düşün,dwso3wbo1
düşünül,dwso3wbo1l
düşüpkalk,dwso3wbu3 fo2elfo2
düşür,dwso3wr
düşürt,dwso3wrbo2
dırlan,dyrlebo1
ebrüla,ebu1rwle
edeblen,edbu1lbo1
edil,eydl
edin,eydbo1
ekil,ekyl
ekle,eklh||
eksikle,eksyklh||
eksil,eksyl
eksilt,eksylbo2
ekşit,ekso3ybo2
ele,elh||
elet,elbo2
elle,eo5llh||
ellen,eo5llh||bo1
elleş,eo5llso3
elver,eo5lwyr
emdir,emdyr
emekle,emkl
emil,eo5ml
emzir,emro1yr
ensele,elo5o3sh||l
er,er
eri,ery
erit,erybo2
eritil,erydl
eriş,eyryso3
ertele,eyrbo2h||lh||
es,es
esaslan,eseslebo1
esaslandır,eseslebo2dyr
esdir,esdyr
esirge,eo5syrkh||
eski,eo5sky
eskit,eo5skybo2
esne,esbo1h||
esnet,eo5sbo1bo2
et,eybo2
etdir,eybo2dyr
etekle,ebo2klh||
ever,eo5wr
evir,eo5wyr
evlen,eo5wlh||bo1
eyle,eylh||
ez,ero1
ezberle,ero1bu1rlh||
ezberlen,ero1bu1rlbo1
ezberlet,ero1bu1rlbo2
ezdir,ero1dyr
ezil,ero1l
eğele,eko7h||l
eğelet,eko7h||lbo2
eğir,eko7r
eğirt,eko7yrbo2
eğle,eko7lh||
eğlen,eko7lbo1
eğlendir,eko7lbo1dyr
eğril,eko7rl
eşdir,eo5so3dyr
eşele,eo5so3h||lh||
eşil,eo5so3yl
eşin,eo5so3ybo1
eşleş,eo5so3lso3
faidelen,fo1ebo5dh||lbo1
fehmet,fo1hm eybo2
fenalaş,fo1bo1eleso3
fenalaşdır,fo1bo1eleso3dyr
ferahlan,fo1rexlebo1
ferahlan,fo1rexo1lebo1
ferahlandır,fo1rexo1lebo1dyr
ferahlandır,fo1rxlebo1dyr
feshet,fo1sxo1 eybo2
fevtet,fo1wbo2 eybo2
fidele,fo1ydh||l
filizle,fo1ylyro1lh||
filizlen,fo1ylyro1lbo1
fiskele,fo1yskh||l
fitille,fo1bo2yllh||
fitle,fo1ybo2llh||
fokurda,fo1wfo2wrde
fokurdat,fo1wfo2wrdebo2
fosurdat,fo1wzwrdebo2
fıkırda,fo1yfo2yrde
fırla,fo1rle
fırla,fo1yrle
fırlat,fo1yrlebo1
fırçala,fo1yrxu3h||le
fırçalan,fo1yrxu3h||lebo1
fırçalat,fo1yrxu3h||lebo2
fırıldat,fo1yryldebo2
fısla,fo1yzle
fısılda,fo1yzylde
fısıldaş,fo1yzyldeso3
fışkır,fo1yso3fo2yr
fışkırt,fo1yso3fo2yrbo2
fışırda,fo1yso3yrde
fışırdat,fo1yso3yrdebo2
gadret,ao1dreybo2
gagala,ao1eao1ele
gagalaş,ao1eao1eleso3
gamlan,ao1mlebo1
gamızla,ao1mro1le
garibse,ao1rybu1sh||
gayretlen,ao1yrbo2lbo1
gazablandır,ao1zo1bu1lebo1dyr
gazaplan,ao1zo1bu3lebo1
gaşyol,ao1so3y ewl
geber,ko7bu1r
gebert,ko7bu1rbo2
gecele,ko7yxu1h||l
gecik,ko7xu1yk
gel,ko7l
gencel,ko7bo1xu1l
genişle,ko7bo1yso3lh||
genişlen,ko7bo1yso3lh||bo1
genişlet,ko7bo1yso3lh||bo2
gençleş,ko7bo1xu1lso3
gerdir,ko7rdyr
gerial,ko7ry eo6l
geridön,ko7ry dwbo1
gerigit,ko7ry kybo2
gerikal,ko7ry fo2el
geriko,ko7ry fo2w
geril,ko7rl
gerin,ko7rbo1
geriver,ko7ry wyr
gerçekleş,ko7rxu1klso3
gerçekleşdir,ko7rxu1klso3dyr
getir,ko7bo2yr
getiril,ko7bo2yryl
getirt,ko7bo2yrbo2
getirtil,ko7bo2yrbo2yl
gev,ko7w
gev,ko7yw
gevre,ko7wrh||
gevret,ko7wrbo2
gevret,ko7wrh||bo2
gevşe,ko7wso3h||
gevşel,ko7wso3ly
gevşelt,ko7wso3lbo2
gevşet,ko7wso3bo2
gevşetil,ko7wso3bo2yl
gez,ko7ro1
gezdir,ko7ro1dyr
gezin,ko7ro1ybo1
geç,ko7xu3
geçin,ko7xu3ybo1
geçindir,ko7xu3ybo1dyr
geçir,ko7xu3yr
geçiril,ko7xu3yryl
geçirt,ko7xu3yrbo2
geçişdir,ko7xu3yso3dyr
geğir,kko7yr
gider,ko7ydr
gidil,ko7ydyl
gidiş,ko7yxu1yso3
gir,ko7yr
giril,ko7yryl
git,ko7ybo2
giy,ko7yy
giydir,ko7ydyr
giyil,ko7yl
giyin,ko7yybo1
gizle,ko7yro1lh||
gizlen,ko7yro1lbo1
gurkla,ao1wrfo2le
gurulda,ao1wrwlde
gururlan,ao1rwrlebo1
göbeklen,ko7wbu1klh||bo1
gölgelen,ko7wlko7h||lbo1
gölgelendir,ko7wlko7h||lbo1dyr
göm,ko7wm
gömül,ko7wml
gömül,ko7wmwl
gönder,ko7wbo1dr
gönderil,ko7wbo1dryl
göndert,ko7wbo1drbo2
gör,ko7wr
gördür,ko7wrdyr
görül,ko7wrwl
görün,ko7wrwbo1
görüşdür,ko7wrwso3dyr
görüşül,ko7wrwso3l
göster,ko7wsbo2r
gösteril,ko7wsbo2ryl
göstert,ko7wsbo2rbo2
götür,ko7wbo2wr
götürt,ko7wbo2wrbo2
götürül,ko7wbo2wrwl
göze,ko7wro1h||
gözen,ko7wro1h||bo1
gözet,ko7wro1bo2
gözetdir,ko7wro1bo2dyr
gözetil,ko7wro1bo2yl
gözetle,ko7wro1bo2lh||
gözle,ko7wro1lh||
gözük,ko7wro1wk
gözük,ko7wro1yk
göçür,ko7wxu3wr
göğüsger,ko7wko7s kr
göğüsle,ko7wko7slh||
gübrele,ko7wbu1rh||lh||
gübrelen,ko7wbu1rh||lh||bo1
gücen,ko7wxu1bo1
gücendir,ko7wxu1bo1dyr
gücenil,ko7wxu1bo1bo1yl
gül,ko7wl
güldür,ko7ldyr
gülümse,ko7wlwmsh||
gümbürde,ko7wmbu1wrdh||
gümüşle,ko7wmwso3lh||
gümüşlet,ko7wmwso3lh||bo2
güneşlen,ko7wbo1so3lh||bo1
güneşlet,ko7wbo1so3lh||bo2
günüle,ko7wbo1ylh||
