o aralık,ewl erelfo2
olamayacağımdan,ewlemyh||xu1ao1mdbo1
olamayacağım,ewlemyh||xu1ao1m
olamayacağımı,ewlemyh||xu1ao1my
olamayacağına,ewlemyh||xu1ao1bo1h
olamayacağının,ewlemyh||xu1ao1bo1ko3
olamayacağız,ewlemyh||xu1ao1ro1
olamayacaklardır,ewlemyh||xu1fo2lrdr
olamayacakları,ewlemyh||xu1fo2lry
olamayacaktı,ewlemyh||xu1fo2dy
olamayan,ewlemyebo1
olamayanlara,ewlemyebo1lrh
olamayanlar,ewlemyebo1lr
olamayarak,ewlemyh||rfo2
olamayıp,ewlemeywbu1
olamayız,ewlemeyro1
olamazdı,ewlemero1dy
olamazdım,ewlemero1dm
olamaz,ewlemero1
olamazlar,ewlemero1lr
olamazsa,ewlemero1sh
olamazsın,ewlemero1sko3
olamazsınız,ewlemero1sko3ro1
olamıyan,ewlemyebo1
olamıyordu,ewlemyywrdy
olamıyordum,ewlemyywrdm
olamıyor,ewlemyywr
olamıyorum,ewlemyywrm
olamıyoruz,ewlemyywrro1
olana,ewlebo1h
olanca,ewlebo1xu1h
olanda,ewlebo1dh
olandan,ewlebo1dbo1
olandır,ewlebo1dr
olan,ewlebo1
olan hey'et,ewlebo1 hbu2bo5bo2
olan hey'et,ewlebo1 hybo5bo2
olanıdır,ewlebo1ydr
olanı,ewlebo1y
olanın,ewlebo1ko3
olanla,ewlebo1lh
olanlara,ewlebo1lrh
olanlarca,ewlebo1lrxu1h
olanlarda,ewlebo1lrdh
olanlardan,ewlebo1lrdbo1
olanlardır,ewlebo1lrdr
olanlar,ewlebo1lr
olanları,ewlebo1lry
olanlarımız,ewlebo1lrymro1
olanlarına,ewlebo1lrybo1h
olanlarından,ewlebo1lrbo1dbo1
olanların,ewlebo1lrko3
olanlarını,ewlebo1lrybo1y
olanlarının,ewlebo1lrybo1ko3
olanlarıyla,ewlebo1lry eylh
olanlarla,ewlebo1lrlh
olarak,ewlerfo2
olası,ewlesy
olasın,ewlesko3
olasınız,ewlesko3ro1
olaydı,ewleydy
olaydım,ewleydm
olayım,ewleym
oldu,ewldy
olduğudur,ewldyao1ydr
olduğu,ewldyao1y
olduğuma,ewldyao1mh
olduğumdan,ewldyao1mdbo1
olduğum,ewldyao1m
olduğumu,ewldyao1my
olduğumun,ewldyao1mko3
olduğumuza,ewldyao1mro1h
olduğumuzdan,ewldyao1mro1dbo1
olduğumuzdur,ewldyao1mro1dr
olduğumuz,ewldyao1mro1
olduğumuzu,ewldyao1mro1y
olduğuna,ewldyao1bo1h
olduğunda,ewldyao1bo1dh
olduğundandır,ewldyao1bo1dbo1dr
olduğundan,ewldyao1bo1dbo1
olduğun,ewldyao1ko3
olduğunu,ewldyao1bo1y
olduğunun,ewldyao1bo1ko3
olduğunuza,ewldyao1ko3ro1h
olduğunuzdan,ewldyao1ko3ro1dbo1
olduğunuz,ewldyao1ko3ro1
olduğunuzu,ewldyao1ko3ro1y
oldukca,ewldfo2xu1h
oldukca,ewldfo2xu1h||
oldukça,ewldfo2xu1h
oldukça,ewld fo2xu1h
oldukça,ewld fo2xu1h||
oldukça iyi,ewldfo2xu1h ebu2w
oldukça iyi,ewldfo2xu1h eyw
olduk,ewldfo2
olduklarıdır,ewldfo2lrydr
oldukları,ewldfo2lry
olduklarına,ewldfo2lrybo1h
olduklarındandır,ewldfo2lrbo1dbo1dr
olduklarından,ewldfo2lrbo1dbo1
olduklarını,ewldfo2lrybo1y
olduklarının,ewldfo2lrybo1ko3
olduklarınız,ewldfo2lryko3ro1
olduktan,ewldfo2dbo1
oldular,ewldylr
oldum,ewldm
oldun,ewldko3
oldunuz,ewldyko3ro1
oldurmak,ewldrmfo2
ol,ewl
olgun,ewlao1wbo1
olgunluğa,ewlao1wbo1lao1h
oligarşi,ewlbu2ao1erso3y
oligarşi,ewlyao1erso3y
olimpiyat,ewlbu2mbu3bu2ed
olimpiyat,ewlymbu3yed
olmada,ewlmedh
olmadan,ewlmedbo1
olmadı,ewlmedy
olmadığı,ewlmedyao1y
olmadığımdan,ewlmedyao1mdbo1
olmadığımdır,ewlmedyao1mdr
olmadığım,ewlmedyao1m
olmadığımı,ewlmedyao1my
olmadığımıza,ewlmedyao1mro1h
olmadığımız,ewlmedyao1mro1
olmadığımızı,ewlmedyao1mro1y
olmadığına,ewlmedyao1bo1h
olmadığında,ewlmedyao1bo1dh
olmadığından,ewlmedyao1bo1dbo1
olmadığın,ewlmedyao1ko3
olmadığını,ewlmedyao1bo1y
olmadığının,ewlmedyao1bo1ko3
olmadığınıza,ewlmedyao1ko3ro1h
olmadığınız,ewlmedyao1ko3ro1
olmadıkça,ewlmedfo2xu1h
olmadık,ewlmdfo2
olmadık,ewlmedfo2
olmadıkları,ewlmedfo2lry
olmadıklarına,ewlmedfo2lrybo1h
olmadıklarından,ewlmedfo2lrbo1dbo1
olmadıklarını,ewlmedfo2lrybo1y
olmadılar,ewlmedylr
olmadım,ewlmedm
olmadın,ewlmedko3
olmadınız,ewlmedyko3ro1
olma,ewlmh
olmağa,ewlmao1h
olmak,ewlmfo2
olmakla,ewlmfo2lh
olmaklığı,ewlmfo2lao1y
olmaklığıma,ewlmfo2lao1mh
olmaklığımdır,ewlmfo2lao1mdr
olmaklığım,ewlmfo2lao1m
olmaklığımızdır,ewlmfo2lao1mro1dr
olmaklığımızı,ewlmfo2lao1mro1y
olmaklığımla,ewlmfo2lao1mlh
olmaklığın,ewlmfo2lao1ko3
olmaklığınızı,ewlmfo2lao1ko3ro1y
olmaksızın,ewlmfo2sro1ybo1
olmaktadır,ewlmfo2dh||dr
olmaktadırlar,ewlmfo2dh||drlr
olmakta,ewlmfo2dh
olmaktan,ewlmfo2dbo1
olmaktansa,ewlmfo2dbo1sh
olmaktı,ewlmfo2dy
olmaktır,ewlmfo2dr
olmak,wlmfo2
olmalarıdır,ewlmelrydr
olmaları,ewlmelry
olmalarına,ewlmelrybo1h
olmalarından,ewlmelrbo1dbo1
olmalarını,ewlmelrybo1y
olmalarının,ewlmelrybo1ko3
olmalarıyla,ewlmelrylh
olmalıdır,ewlmelydr
olmalıdırlar,ewlmelydrlr
olmalı,ewlmely
olmalısın,ewlmelysko3
olmalısınız,ewlmelysko3ro1
olmalıyız,ewlmely||yro1
olmamağa,ewlmemao1h
olmamak,ewlmemfo2
olmamakla,ewlmemfo2lh
olmamaklığımla,ewlmemfo2lao1mlh
olmamaktır,ewlmemfo2dr
olmamalarına,ewlmh||mlrybo1h
olmamalarını,ewlmemlrybo1y
olmamalıdır,ewlmemlydr
olmamalı,ewlmemly
olmamalıyım,ewlmemly||ym
olmamalıyız,ewlmemly||yro1
olmamanızı,ewlmemko3ro1y
olmamasıdır,ewlmemsydr
olmaması,ewlmemsy
olmamasına,ewlmemsbo1h
olmamasından,ewlmemsbo1dbo1
olmamasını,ewlmemsbo1y
olmamasının,ewlmemsbo1ko3
olmamasıyla,ewlmemsylh
olmamayı,ewlmemao1y
olmam,ewlmem
olmamış,ewlmemso3
olmamışlardır,ewlmemso3lrdr
olmamışlar,ewlmemso3lr
olmamıştı,ewlmemso3dy
olmamıştır,ewlmemso3dr
olmamıza,ewlmemro1h
olmamız,ewlmemro1
olmamızı,ewlmemro1y
olmanı,ewlmeko3y
olmanın,ewlmebo1ko3
olmanızdır,ewlmeko3ro1dr
olmanız,ewlmeko3ro1
olmanızı,ewlmeko3ro1y
olmanızla,ewlmeko3ro1lh
olmasa,ewlmesh
olmasalar,ewlmesh||lr
olmasaydı,ewlmesh eydy
olmasaydım,ewlmesh||ydm
olmasaydın,ewlmesh||ydko3
olmasaydınız,ewlmesh eydyko3ro1
olmasıdır,ewlmesydr
olması,ewlmesy
olmasına,ewlmesbo1h
olmasındadır,ewlmesbo1dh||dr
olmasında,ewlmesbo1dh
olmasındaki,ewlmesbo1dh||ky
olmasındandır,ewlmesbo1dbo1dr
olmasından,ewlmesbo1dbo1
olmasın,ewlmesybo1
olmasını,ewlmesbo1y
olmasının,ewlmesbo1ko3
olmasınlar,ewlmesybo1lr
olmasıyla,ewlmesylh
olmayacağı,ewlmyh||xu1ao1y
olmayacağına,ewlmyh||xu1ao1bo1h
olmayacağız,ewlmyh||xu1ao1ro1
olmayacak,ewlmyh||xu1fo2
olmayacaklar,ewlmyh||xu1fo2lr
olmayacakları,ewlmyh||xu1fo2lry
olmayacaktı,ewlmyh||xu1fo2dy
olmayacaktık,ewlmyh||xu1fo2dfo2
olmayacaktın,ewlmyh||xu1fo2dko3
olmayacaktır,ewlmyh||xu1fo2dr
olmaya,ewlmao1h
olmayalım,ewlmyh||lm
olmayana,ewlmyebo1h
olmayanda,ewlmyebo1dh
olmayan,ewlmyebo1
olmayanı,ewlmyebo1y
olmayanın,ewlmyebo1ko3
olmayanlara,ewlmyebo1lrh
olmayanlardan,ewlmyebo1lrdbo1
olmayanlar,ewlmyebo1lr
olmayanları,ewlmyebo1lry
olmayanların,ewlmyebo1lrko3
olmayanlarını,ewlmeyebo1lrybo1y
olmayarak,ewlmyh||rfo2
olmayasın,ewlmeyesko3
olmayayım,ewlmeyeym
olmayı,ewlmeyy
olmayınca,ewlmeybo1xu1h
olmayın,ewlmeyko3
olmayınız,ewlmeyko3ro1
olmayıp,ewlmeywbu1
olmazdan,ewlmero1dbo1
olmazdı,ewlmero1dy
olmazdım,ewlmero1dm
olmaz,ewlmero1
olmazlardı,ewlmero1lrdy
olmazlar,ewlmero1lr
olmazlarsa,ewlmero1lrsh
olmazsa,ewlmero1sh
olmazsan,ewlmero1sh||ko3
olmazsanız,ewlmero1sh||ko3ro1
olmazsın,ewlmero1sko3
olmazsınız,ewlmero1sko3ro1
olmıyana,ewlmyebo1h
olmıyan,ewlmyebo1
olmıyarak,ewlmyh||rfo2
olmuşçasına,ewlmso3xu1h||sbo1h
olmuş,ewlmso3
olmuşlardı,ewlmso3lrdy
olmuşlardır,ewlmso3lrdr
olmuşlar,ewlmso3lr
olmuşlarsa,ewlmso3lrsh
olmuşsa,ewlmso3sh
olmuşsun,ewlmso3sko3
olmuştu,ewlmso3dy
olmuştuk,ewlmso3dfo2
olmuştular,ewlmso3dylr
olmuştum,ewlmso3dm
olmuştur,ewlmso3dr
olmuşum,ewlmso3m
olmuşuz,ewlmso3ro1
olmuyordu,ewlmeywrdy
olmuyor,ewlmeywr
olmuyorlardı,ewlmeywrlrdy
olmuyorlar,ewlmeywrlr
olmuyorsun,ewlmeywrsko3
olmuyorum,ewlmeywrm
olmuyoruz,ewlmeywrro1
ol saat,ewl seabo2
ol sâat,ewl seabo2
olsa,ewlsh
olsak,ewlsh||fo2
olsalardı,ewlsh||lrdy
olsalar,ewlsh||lr
olsam,ewlsh||m
olsan,ewlsh||ko3
olsanız,ewlsh||ko3ro1
olsa olsa,ewlsh ewlsh
olsa olsa,ewlsh ewlsh||
olsaydı,ewlsydy
olsaydık,ewlsydfo2
olsaydılar,ewlsydylr
olsaydım,ewlsydm
olsaydınız,ewlsydyko3ro1
olsun,ewlswbo1
olsunlar,ewlswbo1lr
olta,ewlth
olta,ewlth||
olta ile balık avlamak,ewlbo2h ebu2lh bu1elfo2 ewlemfo2
olta ile balık avlamak,ewlbo2h eylh bu1elfo2 ewlemfo2
oltu,ewlbo2y
oluk,ewlfo2
oluk,ewlwfo2
olunabilecektir,ewlwbo1h||bu1ylh||xu1kdr
olunabilen,ewlwbo1h||bu1ylbo1
olunabilir,ewlwbo1h||bu1ylyr
olunabiliyor,ewlwbo1h||bu1ylyywr
olunabilsin,ewlwbo1h||bu1ylsybo1
olunacağı,ewlwbo1h||xu1ao1y
olunacağını,ewlwbo1h||xu1ao1bo1y
olunacak,ewlwbo1h||xu1fo2
olunacaktı,ewlwbo1h||xu1fo2dy
olunacaktır,ewlwbo1h||xu1fo2dr
oluna,ewlwbo1h
olunamadığından,ewlwbo1h||mdyao1bo1dbo1
olunamayacağını,ewlwbo1h||myh||xu1ao1bo1y
olunamayacak,ewlwbo1h||myh||xu1fo2
olunamaz,ewlwbo1emero1
olunan,ewlwbo1ebo1
olunanın,ewlwbo1ebo1ko3
olunanların,ewlwbo1ebo1lrko3
olunarak,ewlwbo1h||rfo2
olunca,ewlwbo1xu1h
oluncaya,ewlwbo1xu1h||yh
olundu,ewlwbo1dy
olunduğu,ewlwbo1dyao1y
olunduğum,ewlwbo1dyao1m
olunduğumuz,ewlwbo1dyao1mro1
olunduğunu,ewlwbo1dyao1bo1y
olundukça,ewlwbo1dfo2xu1h
olundukları,ewlwbo1dfo2lry
olunduklarını,ewlwbo1dfo2lrybo1y
olunduktan,ewlwbo1dfo2dbo1
olundular,ewlwbo1dylr
olundum,ewlwbo1dm
olun,ewlko3
olun,ewlwbo1
olunmadan,ewlwbo1mh||dbo1
olunmadı,ewlwbo1medy
olunmadığı,ewlwbo1mdyao1y
olunmadığına,ewlwbo1medyao1bo1h
olunmadılar,ewlwbo1mdylr
olunmak,ewlwbo1mfo2
olunmakla,ewlwbo1mfo2lh
olunmaklığım,ewlwbo1mfo2lao1m
olunmaktadır,ewlwbo1mfo2dh||dr
olunmakta,ewlwbo1mfo2dh
olunmalıdır,ewlwbo1melydr
olunmalı,ewlwbo1mely
olunmamak,ewlwbo1memfo2
olunmaması,ewlwbo1memsy
olunmamış,ewlwbo1memso3
olunmasıdır,ewlwbo1mesydr
olunması,ewlwbo1mesy
olunmasını,ewlwbo1mesbo1y
olunmaya,ewlwbo1myh
olunmayan,ewlwbo1myebo1
olunmaz,ewlwbo1mero1
olunmazlar,ewlwbo1mero1lr
olunmazlarsa,ewlwbo1mero1lrsh
olunmazsa,ewlwbo1mero1sh
olunmuş,ewlwbo1mso3
olunmuşlardır,ewlwbo1mso3lrdr
olunmuşlar,ewlwbo1mso3lr
olunmuştu,ewlwbo1mso3dy
olunmuştur,ewlwbo1mso3dr
olunmuyor,ewlwbo1myywr
olunmuyorlar,ewlwbo1myywrlr
olunsa,ewlwbo1sh
olunsalar,ewlwbo1sh||lr
olunsam,ewlwbo1sh||m
olunsun,ewlwbo1swbo1
olununca,ewlwbo1bo1xu1h
olunup,ewlwbo1wbu1
olunurdu,ewlwbo1wrdy
olunurdum,ewlwbo1wrdm
olunur,ewlwbo1wr
olunurken,ewlwbo1wrkbo1
olunurlar,ewlwbo1wrlr
olunursa,ewlwbo1wrsh
olunuyordu,ewlwbo1wywrdy
olunuyor,ewlwbo1wywr
olunuyorlar,ewlwbo1wywrlr
olunuyorsa,ewlwbo1wywrsh
olunuyorsun,ewlwbo1wywrsko3
olunuyorsunuz,ewlwbo1wywrsko3ro1
olunuyorum,ewlwbo1wywrm
olunuyoruz,ewlwbo1wywrro1
olunuz,ewlko3ro1
olup,ewlwbu1
oluptur,ewlwbu1dr
olurda,ewlwr dh
olurdu,ewlwrdy
olurduk,ewlwrdfo2
olurdular,ewlwrdylr
olurdum,ewlwrdm
olurdun,ewlwrdko3
olur,ewlwr
olurken,ewlwrkbo1
olurlardı,ewlwrlrdy
olurlar,ewlwrlr
olurlarsa,ewlwrlrsh
olursa,ewlwrsh
olursak,ewlwrsh||fo2
olursan,ewlwrsh||ko3
olursanız,ewlwrsh||ko3ro1
olursun,ewlwrsko3
olursunuz,ewlwrsko3ro1
olurum,ewlwrm
oluruz,ewlwrro1
oluşudur,ewlwso3ydr
oluşu,ewlwso3y
oluşundan,ewlwso3bo1dbo1
oluşun,ewlwso3ko3
oluşunun,ewlwso3bo1ko3
oluşunuza,ewlwso3ko3ro1h
oluşunuzu,ewlwso3ko3ro1y
oluşunuzun,ewlwso3ko3ro1ko3
oluvermek,ewlbu2wbu2rmk
oluvermek,ewlywyrmk
oluyordu,ewlwywrdy
oluyorduk,ewlwywrdfo2
oluyordular,ewlwywrdylr
oluyordum,ewlwywrdm
oluyordun,ewlwywrdko3
oluyor,ewlwywr
oluyorlardı,ewlwywrlrdy
oluyorlar,ewlwywrlr
oluyorsa,ewlwywrsh
oluyorsan,ewlwywrsh||ko3
oluyorsun,ewlwywrsko3
oluyorsunuz,ewlwywrsko3ro1
oluyorum,ewlwywrm
oluyoruz,ewlwywrro1
o mahalde,ewl mxldh
o mahalde,ewl mxldh||
omlet,ewmlh||bo2
omlet,ewmlh||bo2
omnibüs,ewmbo1bu2bu1ws
omnibüs,ewmbo1ybu1ws
o münasebetle,ewl mbo1esbu1bo2lh||
o münâsebetle,ewl mbo1esbu1bo2lh
omurga,ewkrao1h
omurga,ewkrao1h||
omurga,ewmwrao1h
omurga,ewmwrao1h||
omuzadır,ewmwro1h||dr
omuzadırlar,ewmwro1h||drlr
omuza,ewmwro1h
omuz,ewmwro1
omuzla,ewmwro1le
omuzlamak,ewmwro1lemfo2
omuzlamak,ewmwro1lmfo2
omuzlara,ewmwro1lrh
omuzlar,ewmwro1lr
omuzları,ewmwro1lry
omuzlarına,ewmwro1lrybo1h
omuzlarında,ewmwro1lrbo1dh
omuzlarındaki,ewmwro1lrbo1dh||ky
omuzlarınıza,ewmwro1lryko3ro1h
omuzlarınız,ewmwro1lryko3ro1
omuzluk,ewmwro1lfo2
omuz-omuza,ewmwro1 ewmwro1h
omuzu,ewmwro1y
omuzuma,ewmwro1ymh
omuzum,ewmwro1m
omuzumuza,ewmwro1ymro1h
omuzumuzdaki,ewmwro1ymro1dh||ky
omuzuna,ewmwro1ybo1h
omuzundadır,ewmwro1bo1dh||dr
omuzunda,ewmwro1bo1dh
omuzundaki,ewmwro1bo1dh||ky
omuzunuza,ewmwro1yko3ro1h
omzuna almak,ewmwro1bu2bo1h elmfo2
omzuna almak,ewmwro1ybo1h elmfo2
omzuna vurmak,ewmwro1bu2bo1h ewrmfo2
omzuna vurmak,ewmwro1ybo1h ewrmfo2
onadır,ewko3edr
ona doğru,eketwao1ry
ona,eke
o'na,ewko3e
ona,ewko3e
ona,ewlo5o3e
ona göre,ekekwrh
ona göre,ekekwrh||
onaltıdır,ewbo1 eo6lbo2ydr
on altı,ewbo1 elbo2y
onaltı,ewbo1 eo6lbo2y
onaltıncıda,ewbo1 eo6lbo2bo1xu1ydh
onaltıncı,ewbo1 eo6lbo2bo1xu1y
onaltıncısı,ewbo1 eo6lbo2bo1xu1ysy
onaltı-onyedi,ewbo1 eo6lbo2y−ewbo1 ydy
onaltısının,ewbo1 eo6lbo2ysbo1ko3
onaltı'yı,ewbo1 eo6lbo2y||yy
ona rağmen,ekerao1meo44
onar,ewbo1r
onar,ewlo5o3er
onarmak,ewko3ermfo2
onarmak,ewlo5o3ermfo2
onbaşı,ewbo1bu1eso3y
onbaşıları,ewbo1bu1eso3ylry
onbaşılıkta,ewbo1bu1eso3ylfo2dh
onbaşılıktan,ewbo1bu1eso3ylfo2dbo1
onbaşından,ewbo1bu1eso3ko3dbo1
onbaşısına,ewbo1bu1eso3ysbo1h
onbaşısını,ewbo1bu1eso3ysbo1y
onbaşısının,ewbo1bu1eso3ysbo1ko3
onbaşısıyla,ewbo1bu1eso3ysylh
onbaşısiyle,ewbo1bu1eso3ysylh
onbaşıya,ewbo1bu1eso3y||yh
onbeşden,ewbo1 bu1so3dbo1
onbeşe,ewbo1 bu1so3h
on beş,ewbo1 bu1so3
onbeş,ewbo1 bu1so3
onbeşi,ewbo1 bu1so3y
onbeşincide,ewbo1 bu1so3bo1xu1ydh
onbeşinci,ewbo1 bu1so3bo1xu1y
onbeşincisi,ewbo1 bu1so3bo1xu1ysy
onbeşinden,ewbo1 bu1so3bo1dbo1
onbeşine,ewbo1 bu1so3bo1h
onbeşini,ewbo1 bu1so3bo1y
onbeş-onaltı,ewbo1 bu1so3 ewbo1 eo6lbo2y
onbeşten,ewbo1 bu1so3dbo1
onbeş-yirmi,ewbo1 bu1so3 yko7rmy
onbeş-yirmişer,ewbo1 bu1so3  yko7rmyso3r
onbin,ewbo1 bu1yko3
onbinler,ewbo1 bu1yko3lr
onbirdir,ewbo1 bu1rdr
onbirer,ewbo1 bu1rr
on bir,ewbo1 bu1r
onbir,ewbo1 bu1r
onbirincide,ewbo1 bu1rbo1xu1ydh
onbirinci,ewbo1 bu1rbo1xu1y
onbirincisi,ewbo1 bu1rbo1xu1ysy
onbirine,ewbo1 bu1rybo1h
ondadır,ewbo1dh||dr
onda,ebo1dh
onda,ebo1dh||
onda,ewbo1dh
ondaki,ewbo1dh||ky
ondalık,ewbo1dh||lfo2
ondalık,ewbo1dh||lfo2
ondalık,ewbo1dh lfo2
ondan başka,ebo1dbo1 bu1so3fo2h
ondan başka,ebo1dbo1 bu1so3fo2h||
ondandır,ewbo1dbo1dr
ondan,ebo1dbo1
o'ndan,ewbo1dbo1
on'dan,ewbo1dbo1
ondan,ewbo1dbo1
ondan sonra,ebo1dbo1zkrh
ondan sonra,ebo1dbo1zkrh||
on demet takımı,ewbo1 dmbo2 tefo2my
on dirhemlik tartı,ewbo1 drhmlk terbo2y
ondokuza,ewbo1 twfo2wro1h
ondokuzbin,ewbo1 twfo2wro1 bu1yko3
ondokuzdur,ewbo1 ||twfo2wro1dr
on dokuz,ewbo1 tfo2wro1
ondokuz,ewbo1 twfo2wro1
ondokuzu,ewbo1 twfo2wro1y
ondokuzuncuda,ewbo1 twfo2wro1bo1xu1ydh
ondokuzuncu,ewbo1 twfo2wro1bo1xu1y
ondokuzuncusu,ewbo1 twfo2wro1bo1xu1ysy
ondörde,ewbo1 drdh
ondördü,ewbo1 drdy
ondördüncü,ewbo1 drdbo1xu1y
ondördüncüsü,ewbo1 drdbo1xu1ysy
on dört,ewbo1 drbo2
ondört,ewbo1 drbo2
ondört-onbeş,ewbo1 drbo2 ewbo1 bu1so3
ondur,ewbo1dr
o ne,ewbo1h
o ne,ewbo1h||
on,ewbo1
ongurga,ewkrao1h
ongurga,ewkrao1h||
on iki düzine,ewbo1 ebu2ky dwro1bu2bo1h
on iki düzine,ewbo1 eyky dwro1ybo1h||
on iki,ewbo1 ebu2ky
on iki,ewbo1 eyky
oniki,ewbo1 eyky
onikilik,ewbo1 eykylk
onikinci,ewbo1 eykbo1xu1y
onikincisi,ewbo1 eykbo1xu1ysy
oniki-onüç,ewbo1 eyky − ewbo1 ewxu3
onlaradır,ewbo1lrh||dr
onlara,ewbo1lrh
onlarca,ewbo1lrxu1h
onlardadır,ewbo1lrdh||dr
onlarda,ewbo1lrdh
onlardaki,ewbo1lrdh||ky
onlardandır,ewbo1lrdbo1dr
onlardan,ewbo1lrdbo1
onlardı,ewbo1lrdy
onlardır,ewbo1lrdr
onlar,ebo1lr
onlar,ewbo1lr
onları,ewbo1lry
onlarındır,ewbo1lrko3dr
onların,ebo1lrk
onların,ewbo1lrko3
onlarınki,ebo1lrkky
onlarınki,ewbo1lrko3ky
onlarla,ewbo1lrlh
onmadık,ewko3medfo2
onmadık,ewlo5o3medfo2
