ubade,abu1edh
ubeyd,ao9bu1o4yd
ubeyd'i,abu1ydy
ubeydullah,ao9bu1o4yd eellh
ubeydullah-il,ao9bu1o4yd eellh el
u,bo5w
ubudiyet,abu1wdbu2bo2
ubûdiyet,abu1wdbu2bo2
ubudi̇yet,abu1wdybo2
ubudiyet,abu1wdybo2
ubudiyete,abu1wdybo2h
ubudiyet-i,abu1wdybo2u4
ubudiyeti,abu1wdybo2y
ubudiyetidir,abu1wdybo2ydr
ubudiyetim,abu1wdybo2m
ubudiyetime,abu1wdybo2mh
ubudiyetimi,abu1wdybo2my
ubudiyetimiz,abu1wdybo2mro1
ubudiyetimizi,abu1wdybo2mro1y
ubudiyetin,abu1wdybo2ko3
ubudiyetinde,abu1wdybo2bo1dh
ubudiyetindeki,abu1wdybo2bo1dh||ky
ubudiyetine,abu1wdybo2bo1h
ubudiyetini,abu1wdybo2bo1y
ubudiyetinin,abu1wdybo2bo1ko3
ubudiyetinizi,abu1wdybo2ko3ro1y
ubudiyetinizle,abu1wdybo2ko3ro1lh
ubudiyetinle,abu1wdybo2ko3lh
ubudiyetiyle,abu1wdybo2ylh
ubudiyetkârane,abu1wdybo2kerebo1h
ubûdiyetkârane,abu1wdybo2kerebo1h
ubudiyetkâranelerinden,abu1wdybo2kerebo1h||lrbo1dbo1
ubudiyetle,abu1wdybo2lh
ubûdiyetle,abu1wdybo2lh
ubudiyetler,abu1wdybo2lr
ubudiyetleri,abu1wdybo2lry
ubûdiyetleri,abu1wdybo2lry
ubudiyetlerinde,abu1wdybo2lrbo1dh
ubudiyetlerinden,abu1wdybo2lrbo1dbo1
ubudiyetlerine,abu1wdybo2lrybo1h
ubûdiyetlerine,abu1wdybo2lrybo1h
ubudiyetlerini,abu1wdybo2lrybo1y
ubûdiyetlerini,abu1wdybo2lrybo1y
ubudiyetlerinin,abu1wdybo2lrybo1ko3
ubudiyetleriyle,abu1wdybo2lrylh
ubudiyetlerle,abu1wdybo2lrlh
ubudiyette,abu1wdybo2dh
ubudiyetteki,abu1wdybo2dh||ky
ubudiyetten,abu1wdybo2dbo1
ubûdiyetten,abu1wdybo2dbo1
ubudiyettir,abu1wdybo2dr
ubudiyyet,abu1wdbu2bo2
ubûdiyyet,abu1wdbu2bo2
ubudiyyet,abu1wdybo2
ubûdiyyet,abu1wdybo2
ubûdiyyete,abu1wdybo2h
ubûdiyyet-i,abu1wdybo2u4
ubûdiyyeti,abu1wdybo2y
ubûdiyyetidir,abu1wdybo2ydr
ubûdiyyetimizi,abu1wdybo2mro1y
ubûdiyyetin,abu1wdybo2ko3
ubûdiyyetini,abu1wdybo2ko3y
ubûdiyyetiyle,abu1wdybo2ylh
ubudiyyetle,abu1wdybo2lh
ubûdiyyetle,abu1wdybo2lh
ubûdiyyetleri,abu1wdybo2lry
ubûdiyyetlerini,abu1wdybo2lrybo1y
ubûdiyyette,abu1wdybo2dh
ubûdiyyettir,abu1wdybo2dr
ubura,abu1wrh
ubur,abu1wr
ubûr,abu1wr
ubur etmek,abu1wre
ubûr etmek,abu1wre
ubûruna,abu1wrybo1h
uçabilir,ewxu3ebu1ylyr
uçabilirim,ewxu3ebu1ylyrm
uçacağım,ewxu3exu1ao1m
uçacak,ewxu3h||xu1fo2
uçacaktı,ewxu3h||xu1fo2dy
uçak,ewxu3efo2
uçamam,ewxu3emem
uçamıyor,ewxu3emyywr
uçan,ewxu3ebo1
uçarak,ewxu3erfo2
uçardı,ewxu3erdy
uçar,ewxu3er
uçarız,ewxu3erro1
uçarken,ewxu3erkbo1
uçarsa,ewxu3ersh
ucb,ao9xu1bu1
ucb,axu1bu1
ucbdur,ao9xu1bu1dr
ucbe,ao9xu1bu1h
ucblu,ao9xu1bu1ly
uc,ewxu1
uç,ewxu1
uç,ewxu3
uçkun,ewxu3fo2wbo1
uçkur,ewxu3fo2wr
uçkurluk,ewxu3fo2wrlfo2
uçlarıdır,ewxu1lrydr
uçları,ewxu1lry
uçlarında,ewxu1lrbo1dh
uçlarındaki,ewxu1lrbo1dh||ky
uçlarını,ewxu1lrybo1y
uçlarının,ewxu1lrybo1ko3
uçlarıyla,ewxu1lrylh
uçmadı,ewxu3medy
uçmağa,ewxu3mao1h
uçmak,ewxu3mfo2
uçmaktır,ewxu3mfo2dr
uçmalarına,ewxu3melrybo1h
uçmalarında,ewxu3melrbo1dh
uçmalarını,ewxu3melrybo1y
uçmalarıyla,ewxu3melrylh
uçmamış,ewxu3memso3
uçmasına,ewxu3mesbo1h
uçmasın,ewxu3mesybo1
uçmuş,ewxu3mso3
uçmuşsun,ewxu3mso3sko3
uçtu,ewxu3dy
uçtuğunda,ewxu3dyao1ko3dh
uçtur,ewxu1dr
ucub,ao9xu1bu1
ucub,ao9xu1o9bu1o0
u'cubedir,eaxu1wbu1h||dr
u'cube,eaxu1wbu1h
u'cube,eaxu1wbu1h||
u’cube,eaxu1wbu1h||
ucube,eaxu1wbu1h||
u'cûbe,eaxu1wbu1h
ucûbe,eaxu1wbu1h
u'cube,eo9ao0xu1o9wbu1o4h||
u'cûbe,eo9ao0xu1o9wbu1o4h
u'cubelere,eaxu1wbu1h||lrh
ucublu,ao9xu1bu1ly
uçucu,ewxu3bu2xu1y
uçucu,ewxu3yxu1y
ucudur,ewxu1ydr
ucu,ewxu1y
uçuk,ewxu3fo2
uçuk,ewxu3wfo2
uçukla,ewxu3wfo2le
uçuklamak,ewxu3wfo2lemfo2
ucuna,ewxu1bo1h
ucunda,ewxu1bo1dh
ucundaki,ewxu1bo1dh||ky
ucundan,ewxu1bo1dbo1
ucunu,ewxu1bo1y
ucunu kesmek,ewxu1bo1y ksmk
uçup,ewxu3wbu1
uçup yüksekte durmak,ewxu3wbu3 bu2wkskdh dwrmfo2
uçup yüksekte durmak,ewxu3wbu3 ywkskdh dwrmfo2
uçuracak,ewxu3wrexu1fo2
uçurdu,ewxu3wrdy
uçurdular,ewxu3wrdylr
uçur,ewxu3wr
uçurmak,ewxu1rmfo2
uçurmak,ewxu3rmfo2
uçurmak,ewxu3wrmfo2
uçurmuş,ewxu3wrmso3
uçurt,ewxu3wrbo2
uçurtma,ewxu3rbo2mh
uçurtma,ewxu3rbo2mh||
uçurtma,ewxu3wrbo2me
uçurtmak,ewxu3wrbo2mfo2
uçurulabilir,ewxu3wrylebu1ylyr
uçuruma,ewxu3wrwmh
uçurumdan,ewxu3wrwmdbo1
uçurum,ewxu3rwm
uçurum,ewxu3wrwm
uçurumlara,ewxu3wrwmlrh
uçurumlar,ewxu3wrwmlr
uçurumlarına,ewxu3wrwmlrybo1h
uçurumlarla,ewxu3wrwmlrlh
uçurumuna,ewxu3wrwmbo1h
uçurumunda,ewxu3wrwmbo1dh
uçurumundan,ewxu3wrwmbo1dbo1
uçurur,ewxu3wrwr
uçuruyor,ewxu3wryywr
uçuşan,ewxu3wso3ebo1
uçuş,ewxu3wso3
ucu sivri bir şey sokup açmak,ewxu1y sbu2wry bu1rso3y zwfo2wbu1 exu3mfo2
ucu sivri bir şey sokup açmak,ewxu1y sywry bu1rso3y zwfo2wbu1 exu3mfo2
uçuşlarını,ewxu3wso3lrybo1y
uçuşmak,ewxu3wso3mfo2
uçuşuyla,ewxu3wso3ylh
ucuyla,ewxu1ylh
uçuyor,ewxu3wywr
ucuza,ewxu1wro1h
ucuzca,ewxu1wro1xu1h
ucuzdan,ewxu1wro1dbo1
ucuzdu,ewxu1wro1dy
ucuzdur,ewxu1wro1dr
ucuz,ewxu1wro1
ucuzluğa,ewxu1wro1lao1h
ucuzluğu,ewxu1wro1lao1y
ucuzluğun,ewxu1wro1lao1ko3
ucuzluk,ewxu1wro1lfo2
ucuzlukla,ewxu1wro1lfo2lh
ucuzlukta,ewxu1wro1lfo2dh
ucuzu,ewxu1wro1y
ud ağacı,awdeao1exu1y
ud,awd
udcu,awdxu1y
uddetim,ao9do8o4bo2m
udi,awdy
ud (öd),awd
udul,adwl
udûl,adwl
udûlden,adwldbo1
udvan,adwebo1
udvân,adwebo1
u,eu9
u,ew
ufacık,ewfo1exu1fo2
ufacık tefecik,ewfo2exu1fo2 bo2fo1h||xu1k
ufacık tefecik,ewfo2exu1fo2 bo2fo1h||xu1k
ufak bohça,ewfo1efo2 bu1wao1xu3h
ufak bohça,ewfo1efo2 bu1wao1xu3h||
ufak çalılık,ewfo1efo2 xu3elbu2lfo2
ufak çalılık,ewfo1efo2 xu3elylfo2
ufak çocuk,ewfo1efo2 xu3wxu1fo2
ufak,ewfo1efo2
ufak köy,ewfo1efo2 kwy
ufak parça,ewfo1efo2 bu3erxu3h
ufak parça,ewfo1efo2 bu3erxu3h||
ufak tefek,ewfo1efo2 bo2fo1k
ufala,ewfo1ele
ufala,ewfo1le
ufalamak,ewfo1elemfo2
ufalamak,ewfo1lemfo2
ufalan,ewfo1elebo1
ufalanıp,ewfo1elebo1wbu1
ufalanmak,ewfo1elebo1mfo2
ufal,ewfo1el
ufalma,ewfo1elmh
ufalma,ewfo1elmh||
ufalmak,ewfo1elmfo2
ufalt,ewfo1elbo2
ufaltılma,ewfo1eldlmh
ufaltılma,ewfo1eldlmh||
ufaltma,ewfo1elbo2mh
ufaltma,ewfo1elbo2mh||
ufaltmak,ewfo1elbo2mfo2
ufatmak,ewfo1ebo2mfo2
uf,ewfo1
ufka,eo9fo1fo2h
ufka müvazi,efo1fo2h mwero1y
ufka müvâzi,efo1fo2h mwero1y
ufkî,eo9fo1fo2y
ufk-u,eo9fo1fo2u4
ufku,eo9fo1fo2y
ufkumuzda,eo9fo1fo2mro1dh
ufkuna,eo9fo1fo2bo1h
ufkunda,eo9fo1fo2bo1dh
ufkundaki,eo9fo1fo2bo1dh||ky
ufkundan,eo9fo1fo2bo1dbo1
ufkun,eo9fo1fo2ko3
ufkunu,eo9fo1fo2bo1y
ufuk,efo1fo2
ufuk,eo9fo1fo2
ufuki,efo1fo2y
ufukî,efo1fo2y
ufuklara,efo1fo2lrh
ufuklarda,eo9fo1fo2lrdh
ufuklardan,eo9fo1fo2lrdbo1
ufuklar,eo9fo1fo2lr
ufuklarına,eo9fo1fo2lrybo1h
ufuklarında,eo9fo1fo2lrbo1dh
ufuklarından,eo9fo1fo2lrbo1dbo1
ufuklarını,eo9fo1fo2lrybo1y
ufuktadır,eo9fo1fo2dh||dr
ufukta,eo9fo1fo2dh
ufuktan,eo9fo1fo2dbo1
ufûle,eo9fo1wlh
uful,eo9fo1wl
ufûl,eo9fo1wl
ufulüne,eo9fo1wlbo1h
ufûlüne,eo9fo1wlbo1h
ufulün,eo9fo1wlko3
ufûlüyle,eo9fo1wlylh
ufunet,afo1wbo1bo2
ufûnet,afo1wbo1bo2
ufunet,ao9fo1o9wbo1o4bo2o0
ufûnet,ao9fo1o9wbo1o4bo2o0
ufunetlen,afo1wbo1bo2lbo1
ufunetlendir,afo1wbo1bo2lbo1dyr
ufûnetlendirmek,afo1wbo1bo2lbo1dbu2rmk
ufunetlendirmek,afo1wbo1bo2lbo1dyrmk
ufunetlenmek,afo1wbo1bo2lbo1mk
ufûnetlenmek,afo1wbo1bo2lbo1mk
ufunetli,afo1wbo1bo2ly
ufûnetli,afo1wbo1bo2ly
ufunetsizdir,afo1wbo1bo2sro1dr
uğradı,ewao1redy
uğradığı,ewao1redyao1y
uğradığına,ewao1redyao1bo1h
uğradığın,ewao1redyao1ko3
uğradıkça,ewao1redfo2xu1h
uğradıkları,ewao1redfo2lry
uğradılar,ewao1redylr
uğradım,ewao1redm
uğra,ewao1re
uğrak,ewao1refo2
uğramadan,ewao1remdbo1
uğramadı,ewao1remdy
uğramadığını,ewao1remdyao1bo1y
uğramak,ewao1remfo2
uğramaları,ewao1remelry
uğramaması,ewao1remh||msy
uğramamış,ewao1rememso3
uğraması,ewao1remesy
uğramasına,ewao1remesbo1h
uğramasıyla,ewao1remesylh
uğramayacak,ewao1remeyexu1fo2
uğramayan,ewao1remyebo1
uğramayarak,ewao1remyerfo2
uğramış,ewao1remso3
uğramışlardır,ewao1remso3lrdr
uğramıştır,ewao1remso3dr
uğrardı,ewao1rerdy
uğrar,ewao1rer
uğrarlar,ewao1rerlr
uğrarsın,ewao1rersko3
uğraşacak,ewao1reso3h||xu1fo2
uğrasa,ewao1resh
uğraşalım,ewao1reso3elm
uğraşan,ewao1reso3ebo1
uğraşanlar,ewao1reso3ebo1lr
uğraşarak,ewao1reso3h||rfo2
uğraşayım,ewao1reso3h||ym
uğraş,ewao1reso3
uğraşılan,ewao1reso3ylebo1
uğraşıldıkça,ewao1reso3yldfo2xu1h
uğraşılıyor,ewao1reso3ylyywr
uğraşılmaz,ewao1reso3ylmero1
uğraşılsın,ewao1reso3ylsybo1
uğrasın,ewao1resybo1
uğraşıp,ewao1reso3wbu1
uğraşır,ewao1reso3yr
uğraşırken,ewao1reso3yrkbo1
uğraşırlar,ewao1reso3yrlr
uğraşıyor,ewao1reso3yywr
uğraşıyorlar,ewao1reso3yywrlr
uğraşıyorsunuz,ewao1reso3yywrsko3ro1
uğraşıyorum,ewao1reso3yywrm
uğraşma,ewao1reso3mh
uğraşma,ewao1reso3mh||
uğraşmak,ewao1reso3mfo2
uğraşmaktadırlar,ewao1reso3mfo2dh||drlr
uğraşmaktan,ewao1reso3mfo2dbo1
uğraşmamak,ewao1reso3memfo2
uğraşmamaktır,ewao1reso3memfo2dr
uğraşmam,ewao1reso3mem
uğraşması,ewao1reso3mesy
uğraşmasınlar,ewao1reso3mesybo1lr
uğraşmayacağım,ewao1reso3myh||xu1ao1m
uğraşmaya,ewao1reso3mao1h
uğraşmayınız,ewao1reso3meyko3ro1
uğraşmaz,ewao1reso3mero1
uğraşmışlardı,ewao1reso3mso3lrdy
uğraşmıyor,ewao1reso3myywr
uğraşsın,ewao1reso3sybo1
uğraştığım,ewao1reso3dyao1m
uğraştığından,ewao1reso3dyao1bo1dbo1
uğraştıklarından,ewao1reso3dfo2lrbo1dbo1
uğraştır,ewao1reso3dyr
uğraştırıyorlar,ewao1reso3dyryywrlr
uğraştırmak,ewao1reso3dbu2rmfo2
uğraştırmak,ewao1reso3dyrmfo2
uğraştırmasıyla,ewao1reso3dyrmesylh
uğratan,ewao1rebo2ebo1
uğrat,ewao1rebo2
uğratılarak,ewao1rebo2ylerfo2
uğratılmakla,ewao1rebo2ylmfo2lh
uğratıp,ewao1rebo2wbu1
uğratırlar,ewao1rebo2yrlr
uğratmak,ewao1rebo2mfo2
uğratmaktan,ewao1rebo2mfo2dbo1
uğratmamak,ewao1rebo2memfo2
uğratmayarak,ewao1rebo2myh||rfo2
uğratmaz,ewao1rebo2mero1
uğratmıştır,ewao1rebo2mso3dr
uğratsın,ewao1rebo2sybo1
uğrattığı,ewao1rebo2dyao1y
uğrayacağı,ewao1reyh||xu1ao1y
uğrayacağını,ewao1reyh||xu1ao1bo1y
uğrayacak,ewao1reyh||xu1fo2
uğrayacaklarını,ewao1reyh||xu1fo2lrybo1y
uğrayacaktı,ewao1reyh||xu1fo2dy
uğrayan,ewao1reyebo1
uğrayarak,ewao1reyh||rfo2
uğrayınız,ewao1reyko3ro1
uğrayıp,ewao1reywbu1
uğrayıvermek,ewao1rebu2wbu2rmk
uğrayıvermek,ewao1reywyrmk
uğrulamak,ewao1rbu2lmfo2
uğrulamak,ewao1rylmfo2
uğrumuzda,ewao1rymro1dh
uğruna,ewao1rybo1h
uğrunda,ewao1rbo1dh
uğrundaki,ewao1rbo1dh||ky
uğruyor,ewao1reywr
uğruyorlar,ewao1reywrlr
uğulda,ewao1wlde
uğuldamak,ewao1wldemfo2
uğultu,ewao1wlbo2w
uğurda,ewao1wrdh
uğur,ewao1wr
uğurla,ewao1wrle
uğurlamak,ewao1wrlemfo2
uğurlamıştı,ewao1wrlemso3dy
uğurlar,ewao1wrlr
uğurlar ola,ewao1wrlrewlh
uğurlar ola,ewao1wrlrewlh||
uğurlu,ewao1wrlw
uğurlu,ewao1wrly
uğur ola,ewao1wrewlh
uğur ola,ewao1wrewlh||
uğursuz,ewao1wrsro1
uğursuzluğuyla,ewao1wrsro1lao1ylh
uhban,eo9hbu1ebo1
uhde,ahdh
uhde,ahdh||
uhdeme,ahdh||mh
uhdenizde,ahdh||ko3ro1dh
uhdesindedir,ahdh||sbo1dh||dr
uhdesinden,ahdh||sbo1dbo1
uhdesine,ahdh||sbo1h
uhdud,eo9xo1dwd
uhrada,eo9xo1ro99y||dh
uhrâda,eo9xo1ro99y||dh
uhra,eo9xo1re
uhrâ,eo9xo1ry
uhra,exo1ry
uhrâ,exo1ry
uhranın,eo9xo1ro99y||bo1ko3
uhraya,eo9xo1ro99y||yh
uhrayı,eo9xo1ro99y||yy
uhrâyı,eo9xo1ro99y||yy
uhrevîde,eo9xo1rwydh
uhrevîden,eo9xo1rwydbo1
uhrevîdir,eo9xo1rwydr
uhrevî,eo9xo1o0ro4wbu2
uhrevi̇,eo9xo1o0ro4w۪y
uhrevi,eo9xo1o0ro4w۪y
uhrevî,eo9xo1rwy
uhrevi,exo1rwbu2
uhrevi̇,exo1rwy
uhrevi,exo1rwy
uhrevî,exo1rwy
uhrevîler,eo9xo1rwylr
uhrevîlerine,eo9xo1rwylrybo1h
uhrevimde,eo9xo1rwymdh
uhreviyede,eo9xo1rwyh||dh
uhreviyedeki,eo9xo1rwyh||dh||ky
uhreviyeden,eo9xo1rwyh||dbo1
uhreviyedir,eo9xo1rwyh||dr
uhreviye,eo9xo1rwyh
uhrevîye,eo9xo1rwy||yh
uhreviyeleri,eo9xo1rwyh||lry
uhreviyelerinde,eo9xo1rwyh||lrbo1dh
uhreviyelerine,exo1rwyh||lrybo1h
uhreviyelerinin,eo9xo1rwyh||lrybo1ko3
uhreviyeme,eo9xo1rwyh||mh
uhreviyemin,eo9xo1rwyh||mko3
uhreviyemize,eo9xo1rwyh||mro1h
uhreviyene,eo9xo1rwyh||ko3h
uhreviyeni,eo9xo1rwyh||ko3y
uhreviyenin,eo9xo1rwyh||bo1ko3
uhreviyesi,eo9xo1rwyh||sy
uhreviyesinde,eo9xo1rwyh||sbo1dh
uhreviyesine,eo9xo1rwyh||sbo1h
uhreviyesini,eo9xo1rwyh||sbo1y
uhreviyesinin,exo1rwyh||sbo1ko3
uhreviyeye,eo9xo1rwyh||yh
uhreviyeyi,eo9xo1rwyh||yy
uhrevîyi,eo9xo1rwy||yy
uhreviyyeden,eo9xo1rwyh||dbo1
uhreviyyedir,eo9xo1rwyh||dr
uhreviyye,eo9xo1rwyh
uhreviyye,exo1rwbu2h
uhreviyye,exo1rwyh||
uhreviyyene,eo9xo1rwyh||ko3h
uhreviyyenin,eo9xo1rwyh||bo1ko3
uhreviyyesine,eo9xo1rwyh||sbo1h
uhreviyyesini,eo9xo1rwyh||sbo1y
uhreviyyeyi,eo9xo1rwyh||yy
uht,exo1bo2
uhud'da,eo9xo9ddh
uhud'dan,eo9xo9ddbo1
uhud,eo9xo9d
uhûd-u,ahwdu4
uhud-u,eo9xo9du4
uhud'u,eo9xo9dy
uhud'un,eo9xo9dko3
uhuvvete,exo1wo8bo2h
uhuvvet,eo9xo1o9wo4o8bo2o0
uhuvvet,exo1wbo2
uhuvvet,exo1wo8bo2
uhuvvet-i,exo1wo8bo2u4
uhuvveti,exo1wo8bo2y
uhuvvet-i islâmiye,eo9xo1o9wo8bo2u4 eu4so0lo4emu4bu2o4h
uhuvvet-i̇ i̇slami̇ye,eo9xo1o9wo8bo2u4 eu4so0lo4emu4yo4h||
uhuvvet-i islamiye,eo9xo1o9wo8bo2u4 eu4so0lo4emu4yo4h||
uhuvvetimiz,exo1wo8bo2mro1
uhuvvetimizin,exo1wo8bo2mro1ko3
uhuvvetinden,exo1wo8bo2bo1dbo1
uhuvvetine,exo1wo8bo2bo1h
uhuvvetin,exo1wo8bo2ko3
uhuvvetini,exo1wo8bo2bo1y
uhuvvetinize,exo1wo8bo2ko3ro1h
uhuvvetiyle,exo1wo8bo2ylh
uhuvvetkârane,exo1wo8bo2kerebo1h
uhuvvetkâranesini,exo1wo8bo2kerebo1h||sbo1y
uhuvvetle,exo1wo8bo2lh
uhuvvetlere,exo1wo8bo2lrh
uhuvvetleri,exo1wo8bo2lry
uhuvvetlerine,exo1wo8bo2lrybo1h
uhuvvetlerini,exo1wo8bo2lrybo1y
uhuvvette,exo1wo8bo2dh
uhuvvetteki,exo1wo8bo2dh||ky
uhuvvettir,eo5xo1wo8bo2dr
ukab,afo2ebu1
ukâb,afo2ebu1
ukad-ı,ao9fo2o4du4
ukala,afo2le
ukalâ,afo2le
ukalâdan,afo2ledbo1
ukalâ-i,afo2lecu4
ukalalık,afo2lelfo2
ukalâlık,afo2lelfo2
ukalânın,afo2lebo1ko3
ukalâsını,afo2lesbo1y
ukalâya,afo2leyh
ukalâ-yı,afo2leyu4
ukayl,afo2yl
ukba,afo2bu1e  -- yanlış 
ukbâ,afo2bu1e  -- yanlış 
ukba,afo2bu1y
ukbâ,afo2bu1y
ukbada,afo2bu1edh
ukbadaki,afo2bu1edh||ky
ukba-yı,afo2bu1eyu4 -- yanlış
ukbayı,afo2bu1eyy
ukde,afo2dh
ukde,afo2dh||
ukde,ao9fo2o0do4h
ukde,ao9fo2o0do4h||
ukdede,afo2dh||dh
ukde-i,afo2dh'u4
ukde-i hayatiye,ao9fo2o0do4u4 xo4bu2o4ebo2u4bu2o4h
ukde-i̇ hayati̇ye,ao9fo2o0do4ۀu4 xo4yo4ebo2u4yo4h||
ukde-i hayatiye,ao9fo2o0do4ۀu4 xo4yo4ebo2u4yo4h||
ukdeler,afo2dh||lr
ukdelerden,afo2dh||lrdbo1
ukdeleri,afo2dh||lry
ukdelerinden,afo2dh||lrbo1dbo1
ukdelerine,afo2dh||lrybo1h
ukdelerini,afo2dh||lrybo1y
ukdesi,afo2dh||sy
ukdesinde,afo2dh||sbo1dh
ukdesini,afo2dh||sbo1y
ukdesinin,afo2dh||sbo1ko3
ukdet-ül,afo2dho2 el
ukdeyi,afo2dh||yy
ukkaşe,ao9ko8eso3h
ukkaşe'nin,ao9ko8eso3h||bo1ko3
ukke,ao9ko8h
ukkede,ako8h||dh
ukkeyi,ako8h||yy
uknum,efo2bo1wm
uknûm,efo2bo1wm
ukubat,afo2wbu1ebo2
ukûbât,afo2wbu1ebo2
ukubet,afo2wbu1bo2
ukûbet,afo2wbu1bo2
ukubetle,afo2wbu1bo2lh
ukud,afo2wd
ukûd,afo2wd
ukukları,afo2wfo2lry
ukuk-u,afo2wfo2u4
ukul,afo2wl
ukûl,afo2wl
ukûlde,afo2wldh
ukûlden,afo2wldbo1
ukûldür,afo2wldr
ukule,afo2wlh
ukûle,afo2wlh
ukûl-u,afo2wlu4
ukûl-ü,afo2wlu4
ukulü,afo2wly
ukûlü,afo2wly
ukûlümüzce,afo2wlmro1xu1h
ukûlümüzün,afo2wlmro1ko3
ukûlün,afo2wlko3
ukûlüne,afo2wlbo1h
ula,ewle
ulâ,ewlo99y
ula,ewly
ulah,ewlexo1
ulak,ewlefo2
ulama,ewlemh
ulama,ewlemh||
ulamak,ewlemfo2
ulam,ewlem
ulan,ewlebo1
ulânın,ewlo99y||bo1ko3
ulaşabilir,ewleso3h||bu1ylyr
ulaşacağız,ewleso3h||xu1ao1ro1
ulaşacak,ewleso3h||xu1fo2
ulaşacaklardır,ewleso3h||xu1fo2lrdr
ulaşamamıştır,ewleso3h||memso3dr
ulaşamaz,ewleso3h||mero1
ulaşamazsınız,ewleso3h||mero1sko3ro1
ulaşamıyor,ewleso3h||myywr
ulaşan,ewleso3ebo1
ulaş,ewleso3
ulaşır,ewleso3yr
ulaşırlar,ewleso3yrlr
ulaşmak,ewleso3mfo2
ulaşmasına,ewleso3mesbo1h
ulaşmaz,ewleso3mero1
ulaşmış,ewleso3mso3
ulaştı,ewleso3dy
ulaştığında,ewleso3dyao1bo1dh
ulaştım,ewleso3dm
ulaştıracaktır,ewleso3dyrh||xu1fo2dr
ulaştıran,ewleso3dyrebo1
ulaştırıcı,ewleso3dyryxu1y
ulaştırır,ewleso3dyrr
ulaştırıyorlar,ewleso3dyryywrlr
ulaştırmak,ewleso3drmfo2
ulaştırmak,ewleso3dyrmfo2
ulaştırmaya,ewleso3dyrmao1h
ulaştırmayı,ewleso3dyrmao1y
ulaştırsın,ewleso3dyrsybo1
ulat,ewlebo2
ulatmak,ewlebo2mfo2
ulayıcı,ewlebu2xu1y
ulayıcı,ewleyxu1y
ulâyı,ewlyo99||yy
ulema,alme
ulemâ,alme
ulema,ao9lo4mo4e
ulemâ,ao9lo4mo4e
ulema meclisi,almemxu1lsy
ulemâ meclisi,almemxu1lsy
ulema şurası,almeso3wresy
ulemâ şûrâsı,almeso3wresy
ulemâ-yi ehl-i zâhir,ao9lo4mo4ebu2u4 eo4ho0lu4 to1o4ehu4ro0
ulemâ-yı ehl-i zâhir,ao9lo4mo4ebu2u4 eo4ho0lu4 to1o4ehu4ro0
ulema-yi ehl-i̇ zahi̇r,ao9lo4mo4eyu4 eo4ho0lu4 to1o4ehu4ro0
ulema-yı ehl-i zahir,ao9lo4mo4eyu4 eo4ho0lu4 to1o4ehu4ro0
ulemâ-yi ilm-i kelâm,ao9lo4mo4ebu2u4 au4lo0mu4 ko4leo4mo0
ulemâ-yı ilm-i kelâm,ao9lo4mo4ebu2u4 au4lo0mu4 ko4leo4mo0
ulema-yi i̇lm-i̇ kelam,ao9lo4mo4eyu4 au4lo0mu4 ko4leo4mo0
ulema-yı ilm-i kelam,ao9lo4mo4eyu4 au4lo0mu4 ko4leo4mo0
ulemâ-yi islâm,ao9lo4mo4ebu2u4 eu4so0lo4emo0
ulemâ-yı islâm,ao9lo4mo4ebu2u4 eu4so0lo4emo0
ulema-yi i̇slam,ao9lo4mo4eyu4 eu4so0lo4emo0
ulema-yı islam,ao9lo4mo4eyu4 eu4so0lo4emo0
ulemâ-yi yehûd,ao9lo4mo4ebu2u4 bu2o4ho9wdo0
ulemâ-yı yehûd,ao9lo4mo4ebu2u4 bu2o4ho9wdo0
ulema-yi yehud,ao9lo4mo4eyu4 yo4ho9wdo0
ulema-yı yehud,ao9lo4mo4eyu4 yo4ho9wdo0
