ubade,abu1edh
uluborlu,ewlwbu1wrlw
ulu,ewlw
ulufe,alwfo1h||
ulûfe,alwfo1h
ulufeci,alwfo1h||xu1y
ulûfeci,alwfo1h||xu1y
uluhiyete,elwhybo2h
uluhiyet,elwhbu2bo2
uluhi̇yet,elwhybo2
uluhiyet,elwhybo2
uluhiyet-i,elwhybo2u4
ulûhiyet-i,elwhybo2u4
uluhiyeti,elwhybo2y
uluhiyetinde,elwhybo2bo1dh
uluhiyetine,elwhybo2bo1h
uluhiyetin,elwhybo2ko3
uluhiyetini,elwhybo2bo1y
uluhiyetinin,elwhybo2bo1ko3
uluhiyetiyle,elwhybo2ylh
uluhiyetleridir,elwhybo2lrydr
uluhiyetleri,eo9lwhybo2lry
uluhiyetlerini,elwhybo2lrybo1y
uluhiyette,elwhybo2dh
uluhiyetten,elwhybo2dbo1
uluhiyettir,elwhybo2dr
ulûhiyyet,elwhbu2bo2
uluhiyyet,elwhybo2
ulûhiyyet,elwhybo2
ulûhiyyet-i,elwhybo2u4
ulûhiyyetinde,elwhybo2bo1dh
ulûhiyyetine,elwhybo2bo1h
ulûhiyyetin,elwhybo2ko3
ulûhiyyetinin,elwhybo2bo1ko3
ulûhiyyetiyle,elwhybo2ylh
ulûhiyyettir,elwhybo2dr
ulukışla,ewlwfo2yso3lh||
ulülazm,ewlw elato1m
ulülebsar,ewlw elebu1zer
ulülemr,ewlw elemr
ulü-l,ewlw el
ululuk,ewlwlfo2
ulûma,alwmh
ulumak,ewlwmfo2
ulum,alwm
ulûm,alwm
ulum,ao9lo9wmo0
ulûm,ao9lo9wmo0
ulûm-i,alwmu4
ulûm-ı diniyyede mâhir papaz,alwm dbu2bo1bu2h dh mehr bu3ebu3es
ulum-ı diniyyede mahir papaz,alwm dybo1yh dh mehr bu3ebu3es
ulûm-ı riyâziyye,alwm rbu2ezo1bu2h
ulum-ı riyaziyye,alwm ryezo1yh||
ulûmları,alwmlry
ulûmlarına,alwmlrybo1h
ulûmların,alwmlrko3
ulûm-u,alwmu4
ulûmu,alwmy
ulum-u müteari̇fe,ao9lo9wmo9 mo9bo2o4ao4eru4fo1o4h||
ulum-u mütearife,ao9lo9wmo9 mo9bo2o4ao4eru4fo1o4h||
ulûm-u müteârife,ao9lo9wmo9 mo9bo2o4ao4eru4fo1o4h
ulûmun,alwmko3
ulûmundan,alwmbo1dbo1
ulûmunu,alwmbo1y
ulûmunun,alwmbo1ko3
ulûmuyla,alwmylh
uluorta,ewlwewrbo2h
uluorta,ewlwewrbo2h||
ulus,ewlws
uluş,ewlwso3
uluşmak,ewlwso3mfo2
ulus'un,ewlwsko3
uluvv,alw
ulüvv,alw
uluvv-i,alwo8u4
ulüvv-i,alwo8u4
uluvv-i cenab,alwxu1bo1ebu1
uluvv-i cenâb,alwxu1bo1ebu1
uluvv-i fıtrat,alwfo1trbo2
uluvv-ü,alwo8u4
ulüvv-ü,alwu4o8
ulüvv-ü cenab,ao9lo9wo9o8 xu1o4bo1o4ebu1o0
ulüvv-ü cenâb,ao9lo9wo9o8 xu1o4bo1o4ebu1o0
ulüvvücenablıkla,alwo8xu1bo1ebu1lfo2lh
ulüvvücenablıktır,alwo8xu1bo1ebu1lfo2dr
ulüvv-ü hi̇mmet,ao9lo9wo9o8 hu4mo4o8bo2o0
ulüvv-ü himmet,ao9lo9wo9o8 hu4mo4o8bo2o0
uluyuş,ewlwbu2so3
uluyuş,ewlwyso3
ulvi,alwbu2
ulvi̇,alwy
ulvi,alwy
ulvî,alwy
ulvî,ao9lo0wbu2
ulvi̇,ao9lo0w۪y
ulvi,ao9lo0w۪y
ulvîde,alwydh
ulvîdir,alwydr
ulvîleştirdi,alwylso3dyrdy
ulvîleştirir,alwylso3dyrr
ulvî'nin,alwybo1ko3
ulvîsi,alwysy
ulvîsinden,alwysbo1dbo1
ulvî-süflî,alwy sfo1ly
ulviye,alwyh
ulvîye,alwy||yh
ulviye,ao9lo0wu4bu2o4h
ulvi̇ye,ao9lo0wu4yo4h||
ulviye,ao9lo0wu4yo4h||
ulviyede,alwyh||dh
ulviyededir,alwyh||dh||dr
ulviyeden,alwyh||dbo1
ulviyedir,alwyh||dr
ulviye-i,alwyh'u4'u4
ulviye'ler,alwyh||lr
ulviye'leri,alwyh||lry
ulviyelerinin,alwyh||lrybo1ko3
ulviyenin,alwyh||bo1ko3
ulviyesi,alwyh||sy
ulviyesinden,alwyh||sbo1dbo1
ulviyesine,alwyh||sbo1h
ulviyesini,alwyh||sbo1y
ulviyesinin,alwyh||sbo1ko3
ulviyet,alwbu2bo2
ulviyet,alwybo2
ulviyet,ao9lo0wu4bu2o4bo2o0
ulvi̇yet,ao9lo0wu4yo4bo2o0
ulviyet,ao9lo0wu4yo4bo2o0
ulviyete,alwybo2h
ulviyet-i,alwybo2u4
ulviyeti,alwybo2y
ulviyetidir,alwybo2ydr
ulviyet-i mâhiyet,ao9lo0wu4bu2o4bo2u4 mo4ehu4bu2o4bo2o0
ulvi̇yet-i̇ mahi̇yet,ao9lo0wu4yo4bo2u4 mo4ehu4yo4bo2o0
ulviyet-i mahiyet,ao9lo0wu4yo4bo2u4 mo4ehu4yo4bo2o0
ulviyetinde,alwybo2bo1dh
ulviyetinden,alwybo2bo1dbo1
ulviyetine,alwybo2bo1h
ulviyetini,alwybo2bo1y
ulviyetinin,alwybo2bo1ko3
ulviyetiyle,alwybo2ylh
ulviyetle,alwybo2lh
ulviyettir,alwybo2dr
ulviyeye,alwyh||yh
ulviyeyi,alwyh||yy
ulviyyât,alwbu2ebo2
ulviyyat,alwyebo2
ulviyyeden,alwyh||dbo1
ulviyyedir,alwyh||dr
ulviyyenin,alwyh||bo1ko3
ulviyyesinden,alwyh||sbo1dbo1
ulviyyesini,alwyh||sbo1y
ulviyyet-i,alwybo2u4
ulviyyeti,alwybo2y
ulviyyetini,alwybo2bo1y
ulviyyetiyle,alwybo2ylh
ulyâ,albu2e
ulya,alye
ulyâ,alye
ulyâda,alyedh
ulyâdan,alyedbo1
ulya-i,alyecu4
ulyâsı,alyesy
ulyasına,alyesbo1h
ulyasını,alyesbo1y
ulyaya,alyeyh
ulyâya,alyeyh
ulya-yı,alyeyu4
umacağız,ewmexu1ao1ro1
umac,ewmexu1
umanlara,ewmebo1lrh
umarım,ewmerm
umarız,ewmerro1
umde,amdh
umde,amdh||
umdeleri,amdh||lry
umdelerini,amdh||lrybo1y
umdeli,amdh||ly
umdem,amdh||m
umdesidir,amdh||sydr
umdesine,amdh||sbo1h
umdet-ül,amdho2 el
umdeye,amdh||yh
umdeyi,amdh||yy
um,ewm
umeyr,amyr
umeyr'i,amyry
umeyr'in,amyrko3
umk,amfo2
ummadığı,ewmmedyao1y
ummadığım,ewmmedyao1m
ummadıkları,ewmmedfo2lry
ummak,emmfo2
ummak,ewmmfo2
ummal,amel
ummâl,amel
ummam,ewmm
ummana,amo8ebo1h
umman,amebo1
ummân,amebo1
umman,amo8ebo1
ummandan,amo8ebo1dbo1
ummandır,amo8ebo1dr
umman-ı,amo8ebo1u4
ummanî,amo8ebo1y
ummanı,ao9mo8ebo1y
ummanın,ao9mo8ebo1ko3
ummanında,ao9mo8ebo1bo1dh
ummanından,amo8ebo1bo1dbo1
ummanlarında,amo8ebo1lrbo1dh
umran,amrebo1
umud,ewmwd
umulmadığı,ewmwlmdyao1y
umulmadık,ewmwlmdfo2
umulmamış,ewmlmemso3
umulmayan,ewmlmbu2ebo1
umulmayan,ewmlmyebo1
umulmaz,ewmlmro1
umuma,amwmh
umum,amwm
umûm,amwm
umum,ao9mo9wmo0
umumca,amwmxu1h
umumda,amwmdh
umumdan,amwmdbo1
umumen,amwme
umûmen,amwme
umumen,amwmeo44
umûmen,amwmeo44
umumen,amwmo44e
umûmen,amwmo44e
umumhane,amwm xo1ebo1h||
umûmhâne,amwm xo1ebo1h
umumi,amwmy
umumî,amwmy
umûmî,amwmy
umumî'de,amwmydh
umumîde,amwmydh
umumî'deki,amwmydh||ky
umumîdeki,amwmydh||ky
umumî'den,amwmydbo1
umumîden,amwmydbo1
umumîdir,amwmydr
umumî-i,amwmyo5u4
umumîleşmek,amwmylso3mk
umumileştirilmesi,amwmylso3dyrylmh||sy
umumiliğe,amwmylko7h
umumiliği,amwmylko7y
umumîliği,amwmylko7y
umumî'nin,amwmybo1ko3
umumînin,amwmybo1ko3
umumîsi,amwmysy
umumîsinde,amwmysbo1dh
umumîsine,amwmysbo1h
umumîsini,amwmysbo1y
umumisinin,amwmysbo1ko3
umumîsinin,amwmysbo1ko3
umumîsiyle,amwmysylh
umumiye,amwmyh
umumîye,amwmy||yh
umumiyede,amwmyh||dh
umumiyedeki,amwmyh||dh||ky
umumiyeden,amwmyh||dbo1
umumiyedir,amwmyh||dr
umumiye-i,amwmyh'u4
umumiyelerine,amwmyh||lrybo1h
umumiyelerini,amwmyh||lrybo1y
umumiyemize,amwmyh||mro1h
umumiyemizin,amwmyh||mro1ko3
umumiyenin,amwmyh||bo1ko3
umumiyesi,amwmyh||sy
umumiyesinde,amwmyh||sbo1dh
umumiyesine,amwmyh||sbo1h
umumiyesini,amwmyh||sbo1y
umumiyesiyle,amwmyh||sylh
umûmiyet,amwmbu2bo2
umumiyet,amwmybo2
umumiyet-i,amwmybo2u4
umumiyeti,amwmybo2y
umûmiyet-i ihvân,ao9mo9wmu4bu2o4bo2u4 eu4xo1o0wo4ebo1o0
umumi̇yet-i̇ i̇hvan,ao9mo9wmu4yo4bo2u4 eu4xo1o0wo4ebo1o0
umumiyet-i ihvan,ao9mo9wmu4yo4bo2u4 eu4xo1o0wo4ebo1o0
umumiyetinden,amwmybo2bo1dbo1
umumiyetine,amwmybo2bo1h
umumiyetiyle,amwmybo2ylh
umumiyetle,amwmybo2lh
umumiyetli,amwmybo2ly
umumiyette,amwmybo2dh
umumiye'ye,amwmyh||yh
umumiyeye,amwmyh||yh
umumiyeyi,amwmyh||yy
umumî'yi,amwmy||yy
umumîyi,amwmy||yy
umumiyle,amwmylh
umumîyle,amwmylh
umumiyye,amwmyh
umumiyyedir,amwmyh||dr
umumiyye-i,amwmyh'u4
umumiyyenin,amwmyh||bo1ko3
umûmiyyet,amwmbu2bo2
umumiyyet,amwmybo2
umumiyyeye,amwmyh||yh
umumla,amwmlh
umumlarında,amwmlrbo1dh
umumlarının,amwmlrybo1ko3
umumu,amwmy
umum-ül,amwm el
umumumuza,amwmmro1h
umumumuz,amwmmro1
umumumuzu,amwmmro1y
umumumuzun,amwmmro1ko3
umumuna,amwmbo1h
umumun,amwmko3
umumunda,amwmbo1dh
umumundan,amwmbo1dbo1
umumunu,amwmbo1y
umumunun,amwmbo1ko3
umumunuza,amwmko3ro1h
umumunuz,amwmko3ro1
umumunuzla,amwmko3ro1lh
umumunuzu,amwmko3ro1y
umumunuzun,amwmko3ro1k
umumuyla,amwmylh
umup,ewmwbu1
umûra,emwrh
umûrda,emwrdh
umûrdaki,emwrdh||ky
umûrdan,emwrdbo1
umur,emwr
umûr,emwr
umur,eo9mo9wro0
umûr,eo9mo9wro0
umûr-ı mâliyye,emwr melbu2h
umur-ı maliyye,emwr melyh||
umûr-ı zabtiyye,emwr zbu1tbu2h
umur-ı zabtiyye,emwr zbu1tyh||
umûrlara,emwrlrh
umûrlarda,emwrlrdh
umûrlardandır,emwrlrdbo1dr
umûrlardan,emwrlrdbo1
umûrlar,emwrlr
umûrlarını,eo9mwrlrybo1y
umursan,emwrsebo1
umursanmak,emwrsebo1mfo2
umur-u,emwru4
umûr-u,emwru4
umûru,emwry
umûr-u gaybiye,eo9mo9wro9 ao1o4bu2o0bu1u4bu2o4h
umur-u gaybi̇ye,eo9mo9wro9 ao1o4yo0bu1u4yo4h||
umur-u gaybiye,eo9mo9wro9 ao1o4yo0bu1u4yo4h||
umur-u hasi̇se,eo9mo9wro9 xo4edu4bo3o4h||
umur-u hasise,eo9mo9wro9 xo4edu4bo3o4h||
umûr-u hasîse,eo9mo9wro9 xo4edu4bo3o4h
umûrumda,eo9mwrmdh
umûruna,emwrybo1h
umûrunda,eo9mwrbo1dh
umûrundan,emwrbo1dbo1
umûrun,emwrko3
umûrunu,emwrybo1y
umut,ewmwbo2
unal,ewlo5o3el
unalmak,ewko3elmfo2
unalmak,ewlo5o3elmfo2
unar,ewlo5o3er
unarmak,ewko3ermfo2
unarmak,ewlo5o3ermfo2
uncu,ewbo1xu1y
unda,bo1dh
undaki,bo1dh||ky
un,ewbo1
unf,abo1fo1
unfen,abo1fo1e
unfuvan,abo1fo1webo1
unfuvân,abo1fo1webo1
unfuvan-ı şebabet,abo1fo1webo1 so3bu1ebu1bo2
unfuvân-ı şebâbet,abo1fo1webo1 so3bu1ebu1bo2
university,ewbo1wrsbo2y
unk,abo1fo2
unkudlu,abo1fo2wdly
unkud-u,abo1fo2wdu4
unmadık,ewko3medfo2
unmadık,ewlo5o3medfo2
unmuzec,ebo1mwdo1xu1
unmûzec,ebo1mwdo1xu1
unnab,abo1ebu1
unnâb,abo1ebu1
unsura,abo1zrh
unsur,abo1zr
unsur,ao9bo1o0zo9ro0
unsurca,abo1zrxu1h
unsurculuk,abo1zrxu1ylfo2
unsurdan,abo1zrdbo1
unsurdur,abo1zrdr
unsurî,abo1zry
unsuriye,abo1zryh
unsuriyesinden,abo1zryh||sbo1dbo1
unsuriyet,abo1zrybo2
unsuriyet,ao9bo1o0zo9ru4bu2o4bo2o0
unsuri̇yet,ao9bo1o0zo9ru4yo4bo2o0
unsuriyet,ao9bo1o0zo9ru4yo4bo2o0
unsuriyete,abo1zrybo2h
unsuriyeti,abo1zrybo2y
unsuriyetin,abo1zrybo2ko3
unsuriyetle,abo1zrybo2lh
unsuriyet-perver,abo1zrybo2||bu3rwr
unsuriyetperver,ao9bo1o0zo9ru4bu2o4bo2o0bu3o4ro0wo4ro0
unsuri̇yetperver,ao9bo1o0zo9ru4yo4bo2o0bu3o4ro0wo4ro0
unsuriyetperver,ao9bo1o0zo9ru4yo4bo2o0bu3o4ro0wo4ro0
unsuriyetperverlerin,abo1zrybo2||bu3rwrlrko3
unsuriyet-perverliğe,abo1zrybo2||bu3rwrlko7h
unsuriyetperverliğe,abo1zrybo2||bu3rwrlko7h
unsuriyet-perverlik,abo1zrybo2||bu3rwrlk
unsuriyetperverlik,abo1zrybo2||bu3rwrlk
unsuriyetten,abo1zrybo2dbo1
unsuriyyet,abo1zrybo2
unsuriyyetin,abo1zrybo2ko3
unsurlara,abo1zrlrh
unsurlar,abo1zrlr
unsurlarda,abo1zrlrdh
unsurlardan,abo1zrlrdbo1
unsurlardır,abo1zrlrdr
unsurları,abo1zrlry
unsurlarına,abo1zrlrybo1h
unsurların,abo1zrlrko3
unsurlarında,abo1zrlrbo1dh
unsurlarından,abo1zrlrbo1dbo1
unsurlarını,abo1zrlrybo1y
unsurlarının,abo1zrlrybo1ko3
unsurlarıyla,abo1zrlrylh
unsur-u,abo1zru4
unsuru,abo1zry
unsurudur,abo1zrydr
unsur-u kesîf,ao9bo1o0zo9ro9 ko4bo3u4bu2fo1o0
unsur-u kesi̇f,ao9bo1o0zo9ro9 ko4bo3u4yfo1o0
unsur-u kesif,ao9bo1o0zo9ro9 ko4bo3u4yfo1o0
unsur-ul,abo1zr el
unsur-u muhît,ao9bo1o0zo9ro9 mo9xu4bu2to0
unsur-u muhi̇t,ao9bo1o0zo9ro9 mo9xu4yto0
unsur-u muhit,ao9bo1o0zo9ro9 mo9xu4yto0
unsuruna,abo1zrybo1h
unsurun,abo1zrko3
unsurunda,abo1zrbo1dh
unsurundan,abo1zrbo1dbo1
unsurunu,abo1zrybo1y
unsurunun,abo1zrybo1ko3
unsur-u zîhayât,ao9bo1o0zo9ro9do1bu2 xo4bu2o4ebo2o0
unsur-u zi̇hayat,ao9bo1o0zo9ro9do1y xo4yo4ebo2o0
unsur-u zihayat,ao9bo1o0zo9ro9do1y xo4yo4ebo2o0
unu,bo1y
unul,ewlo5o3l
unulmak,ewko3lmfo2
unulmak,ewlo5o3lmfo2
unulmaz,ewko3lmero1
unulmaz,ewlo5o3lmero1
unutabiliyordum,ewbo1wbo2h||bu1ylyywrdm
unutamadığım,ewbo1wbo2h||mdyao1m
unutamayacağım,ewbo1wbo2h||myh||xu1ao1m
unutamaz,ewbo1wbo2emero1
unutamıyordum,ewbo1wbo2h||myywrdm
unutamıyorum,ewbo1wbo2emyywrm
unutan,ewbo1wbo2ebo1
unutarak,ewbo1wbo2h||rfo2
unutdur,ewbo1wbo2dyr
unutdurmak,ewbo1wbo2dbu2rmfo2
unutdurmak,ewbo1wbo2dyrmfo2
unut,ewbo1h||bo2
unut,ewbo1wbo2
unutkan,ewbo1wbo2fo2ebo1
unutkanlık,ewbo1wbo2fo2ebo1lfo2
unutmadan,ewbo1wbo2medbo1
unutmadım,ewbo1wbo2medm
unutma,ewbo1wbo2me
unutmağa,ewbo1wbo2mao1h
unutmak,ewbo1h||bo2mfo2
unutmak,ewbo1h||bo2mfo2
unutmak,ewbo1wbo2mfo2
unutmakla,ewbo1wbo2mfo2lh
unutmakta,ewbo1wbo2mfo2dh
unutmalıyız,ewbo1wbo2mely||yro1
unutmamak,ewbo1wbo2memfo2
unutmamak,ewbo1w bo2memfo2
unutmamaktadır,ewbo1wbo2memfo2dh||dr
unutmamalıyız,ewbo1wbo2memly||yro1
unutmaması,ewbo1wbo2memsy
unutmamıştır,ewbo1wbo2memso3dr
unutmasın,ewbo1wbo2mesybo1
unutmasınlar,ewbo1wbo2mesybo1lr
unutmayacağım,ewbo1wbo2myh||xu1ao1m
unutmayacağımı,ewbo1wbo2myh||xu1ao1my
unutmayacaktır,ewbo1wbo2myh||xu1fo2dr
unutmaya,ewbo1wbo2mao1h
unutmayan,ewbo1wbo2myebo1
unutmayarak,ewbo1wbo2myh||rfo2
unutmayınız,ewbo1wbo2meyko3ro1
unutmayıp,ewbo1wbo2meywbu1
unutmayız,ewbo1wbo2meyro1
unutmaz,ewbo1wbo2mro1
unutmıyarak,ewbo1wbo2myh||rfo2
unutmuş,ewbo1wbo2mso3
unutmuşlar,ewbo1wbo2mso3lr
unutmuştum,ewbo1wbo2mso3dm
unutmuşuz,ewbo1wbo2mso3ro1
unutmuyorlar,ewbo1wbo2myywrlr
unutmuyorum,ewbo1wbo2myywrm
unutsa,ewbo1wbo2sh
unuttuğun,ewbo1wbo2dyao1ko3
unuttuğunuz,ewbo1wbo2dyao1ko3ro1
unuttuk,ewbo1wbo2dfo2
unuttukları,ewbo1wbo2dfo2lry
unuttular,ewbo1wbo2dylr
unuttum,ewbo1wbo2dm
unuttun,ewbo1wbo2dko3
unuttunuz,ewbo1wbo2dyko3ro1
unutturacak,ewbo1wbo2dyrh||xu1fo2
unutturamaz,ewbo1wbo2dyremero1
unutturan,ewbo1wbo2dyrebo1
unutturdu,ewbo1wbo2dyrdy
unutturduğu,ewbo1wbo2dyrdyao1y
unutturduktan,ewbo1wbo2dyrdfo2dbo1
unutturdular,ewbo1wbo2dyrdylr
unutturmağa,ewbo1wbo2dyrmao1h
unutturmak,ewbo1wbo2dyrmfo2
unutturmamak,ewbo1wbo2dyrmemfo2
unutturması,ewbo1wbo2dyrmesy
unuttursun,ewbo1wbo2dyrsybo1
unutturulabilen,ewbo1wbo2dyrylebu1ylbo1
unutturuldu,ewbo1wbo2dyryldy
unutturulmaya,ewbo1wbo2dyrylmao1h
unutturulmuş,ewbo1wbo2dyrylmso3
unutturup,ewbo1wbo2dyrwbu1
unutturur,ewbo1wbo2dyrr
unutturuyor,ewbo1wbo2dyryywr
unutulan,ewbo1wbo2ylebo1
unutulmak,ewbo1wdlmfo2
unutulmamış,ewbo1wdlmemso3
unutulmasıdır,ewbo1wbo2lmesydr
unutulması,ewbo1wbo2lmesy
unutulmayacak,ewbo1wbo2lmyh||xu1fo2
unutulmayan,ewbo1wbo2lmyebo1
unutulmayarak,ewbo1wbo2lmyh||rfo2
unutulmaz,ewbo1wbo2lmero1
unutulmuşdu,ewbo1wbo2lmso3dy
unutulmuş,ewbo1wbo2lmso3
unutulsa,ewbo1wbo2lsh
unutulur,ewbo1wbo2lwr
unutuluyor,ewbo1wbo2lywr
unutunuz,ewbo1wbo2ko3ro1
unutup,ewbo1wbo2wbu1
unutur,ewbo1wbo2wr
unutuyordum,ewbo1wbo2wywrdm
unutuyor,ewbo1wbo2wywr
unutuyorum,ewbo1wbo2wywrm
unvan,abo1webo1
unvân,abo1webo1
unvanı,abo1webo1y
unvânı,abo1webo1y
unvanıdır,abo1webo1ydr
unvanına,abo1webo1bo1h
unvanını,abo1webo1bo1y
unvaniyle,abo1webo1ylh
unvâniyle,abo1webo1ylh
unvanları,abo1webo1lry
unvanlarına,abo1webo1lrybo1h
unvanlarının,abo1webo1lrybo1ko3
unvanlı,abo1webo1ly
unzur,eo9bo1o0to1o9ro0
uran,ewrebo1
urbalarını,ewrbu1elrybo1y
urban,arbu1ebo1
urbân,arbu1ebo1
urba,rwbu1ebu2ebu3mfo2
urbasını,ewrbu1h||sbo1y
urcun,arxu1wbo1
urdan,ewrdbo1
urefa,ao9ro4fo1e
urefa,arfo1e
urefâ,arfo1e
ur,ewr
urfa'da,ewrfo1h||dh
urfa'daki,ewrfo1h||dh||ky
urfa'dan,ewrfo1h||dbo1
urfa,ewrfo1e
urfa,ewrfo1h
urfa,ewrfo1h||
urfalılara,ewrfo1h||lylrh
urfa'nın,ewrfo1h||bo1ko3
urfa'ya,ewrfo1h||yh
urfa'yı,ewrfo1h||yy
urgandaki,ewrao1ebo1dh||ky
urgan,ewrao1ebo1
urhan,ewrxo1ebo1
urla,ewrlh||
urmak,ewrmfo2
uruba,ewrwbu1h
uruba,ewrwbu1h||
uruba,rwbu1h
uruba,rwbu1h||
urubasını çıkarmak,ewrwbu1h sbo1y xu3bu2fo2ermfo2
urubasını çıkarmak,ewrwbu1h sbo1y xu3yfo2ermfo2
uruba vermek,ewrwbu1h wbu2rmk
uruba vermek,ewrwbu1h wyrmk
uruca,arwxu1h
uruc,arwxu1
urûc,arwxu1
urucda,arwxu1dh
uruc-u,arwxu1u4
urûc-u,arwxu1u4
urucu,arwxu1y
uru,ewry
uruk,arwfo2
urûk,arwfo2
uruk-u,arwfo2u4
urûku,arwfo2y
urve,arwh
urve,arwh||
urvet-ül,arwho2 el
uryan,aryebo1
uryân,aryebo1
uşak,aso3efo2
uşak,ewso3efo2
uşak,ewso3lfo2
uşakla,ewso3efo2lh
uşaklarını,ewso3efo2lrybo1y
uşak'lı,ao9so3efo2ly
uşaklı,ao9so3efo2ly
usanan,ewzebo1ebo1
usanç,ewzebo1xu1
usanç,ewzebo1xu3
usancı,ewzebo1xu1y
usançla,ewzebo1xu1lh
usançlı,ewzebo1xu1ly
usançsız,ewzebo1xu1sro1
usanç verir,ewzebo1xu1 wbu2rmk
usanç verir,ewzebo1xu1 wyrmk
usandığım,ewzebo1dyao1m
usandım,ewzebo1dm
usandıracak,ewzebo1dyrh||xu1fo2
usandıran,ewzebo1dyrebo1
usandırıcı,ewzebo1dyryxu1y
usandırır,ewzebo1drr
usandırır,ewzebo1dyrr
usandırıyor,ewzebo1dyryywr
usandırmak,ewzebo1drmfo2
usandırmak,ewzebo1dyrmfo2
usandırmakla,ewzebo1dyrmfo2lh
usandırmamak,ewzebo1dyrmemfo2
usandırmamaktır,ewzebo1dyrmemfo2dr
usandırmamalı,ewzebo1dyrmemly
usandırmaması,ewzebo1dyrmh||msy
usandırmamasının,ewzebo1dyrmh||msbo1ko3
usandırmasın,ewzebo1dyrmesybo1
usandırmayacak,ewzebo1dyrmyh||xu1fo2
usandırmayan,ewzebo1dyrmyebo1
usandırmaz,ewzebo1dyrmero1
usandırmıyor,ewzebo1dyrmyywr
usan,ewzebo1
usanılmıyor,ewzebo1ylmyywr
usanıp,ewzebo1wbu1
usanır,ewzebo1yr
usanıyor,ewzebo1yywr
usanmadan,ewzebo1mh||dbo1
usanmadılar,ewzebo1mdylr
usanma,ewzebo1mh
usanmak,ewzebo1mfo2
usanmamak,ewzebo1mh||mfo2
usanmamanızı,ewzebo1memko3ro1y
usanmayan,ewzebo1myebo1
usanmayız,ewzebo1mh||yro1
usanmaz,ewzebo1mero1
usanmış,ewzebo1mso3
usanmıyordum,ewzebo1myywrdm
usare,azerh||
usâre,azerh
usat,azebo2
usât,azebo2
usbu',ezbu1a
us,ews
uskumru,esfo2wmry
uskumru,ewsfo2wmrw
uskuna,esfo2wbo1h
uskuna,esfo2wbo1h||
uskur,ewsfo2wr
uslan,ewzlebo1
uslanmak,ewzlebo1mfo2
uslu,ewzlw
uslu,ewzly
usr,asr
usret,asrbo2
usretli,asrbo2lw
usrub,esrbu1
usrümü,asrymy
usrün,ao9so0rko3
uşşak,aso3efo2
uşşâk,aso3efo2
uşşak-ı,aso3o8efo2u4
uşşakının,aso3o8efo2bo1ko3
ustabaşı,ewsbo2h||bu1eso3y
ustabaşımız,ewsbo2h||bu1eso3mro1
ustabaşına,ewsbo2h||bu1eso3ybo1h
ustabaşısı,ewsbo2h||bu1eso3ysy
usta çıkmak,ewsbo2h xu3bu2fo2mfo2
usta çıkmak,ewsbo2h xu3yfo2mfo2
