ıbrıkta,eu5bu1ryfo2dh
ıdlal etmek,ezo1lel e
ıdlâl etmek,ezo1lel e
ıdlal,ezo1lel
ıdlâl,ezo1lel
ı,ebu2
ı,eu5
ı,ey
ıhdı,eyxo1dy
ıh,ebu2xo1
ıh,eyxo1
ıhlamur,exo1lemwr
ıhlamur,fo1lemwr
ıişrun,aso3rwbo1
ıişrûn,aso3rwbo1
ık'ad,efo2aed
ık’ad,efo2aed
ık'âd,efo2aed
ıkd,afo2d
ıkın,efo2ybo1
ıkınmak,efo2bu2bo1mfo2
ıkınmak,efo2ybo1mfo2
ıkıntı,efo2bu2bo1bo2y
ıkıntı,efo2ybo1bo2y
ıklîm,efo2lbu2m
ıklim,efo2lym
ıktıda,efo2bo2de
ıktıdâ,efo2bo2de
ılıca,ebu2lbu2xu1h
ılıca,eylyxu1h||
ılıcak,ebu2lbu2xu1fo2
ılıcak,eylyxu1fo2
ılı,eylyfo2
ılık,ebu2lbu2fo2
ılık,eylyfo2
ılımak,ebu2lbu2fo2mfo2
ılımak,eylyfo2mfo2
ılışdır,eylyso3dyr
ılışdırmak,ebu2lbu2so3dbu2rmfo2
ılışdırmak,eylyso3dyrmfo2
ılıt,eylybo2
ılıtmak,ebu2lbu2bo2mfo2
ılıtmak,eylybo2mfo2
ılliyyin,albu2bu2bo1
ılliyyin,alyybo1
ımame,amemh
ımızgan,emyro1ao1ebo1
ımızganmak,embu2ro1ao1ebo1mfo2
ımızganmak,emyro1ao1ebo1mfo2
ında,%?bo1dh
ından,%?bo1dbo1
ındır,%?bo1dr
ının,u44%?bo1k
ınnîn,abo1bu2bo1
ınnin,abo1ybo1
ın,u44%?ko3
ırâka-i,eu5refo2h'u4
ırak,arefo2
ırak,ebu2refo2
ırak,eyrefo2
ırak'ı,arefo2y
ırak'la,arefo2lh
ırak'ta,arefo2dh
ırak'taki,arefo2dh||ky
ırak'tan,arefo2dbo1
ırda,erzo1ea
ırdâ,erzo1ea
ırgad,erao1ed
ırgâd,erao1ed
ırgat,ebu2rfo2ebo2
ırgat,eyrfo2ebo2
ırk,arfo2
ırkçı,arfo2xu1y
ırkçıların,arfo2xu1ylrko3
ırkçılığı,arfo2xu1ylao1y
ırkçılığın,arfo2xu1ylao1ko3
ırkçılık,arfo2xu1ylfo2
ırkçılıkla,arfo2xu1ylfo2lh
ırkçılıkları,arfo2xu1ylfo2lry
ırkdaşlarından,arfo2deso3lrbo1dbo1
ırk,ebu2rfo2
ırken,arfo2e
ırk,eyrfo2
ırk -ı ahmer,arfo2 exmr
ırk-ı ahmer,arfo2 exmr
ırki,arfo2y
ırkî,arfo2y
ırk-ı,au4rfo2u4
ırkî,au4rfo2y
ırk-ı ebyaz,arfo2 ebu1bu2zo1
ırk -ı ebyaz,arfo2 ebu1yzo1
ırk-ı ebyaz,arfo2 ebu1yzo1
ırkımıza,au4rfo2mro1h
ırkından,au4rfo2bo1dbo1
ırkını,au4rfo2bo1y
ırklar,au4ro0fo2lr
ırkları,au4ro0fo2lry
ırmağında,eyrmeao1bo1dh
ırmağından,eyrmeao1bo1dbo1
ırmağın,eyrmeao1ko3
ırmağının,eyrmeao1bo1ko3
ırmak,ebu2rmefo2
ırmak,ebu2rmfo2
ırmak,eyrmefo2
ırmak,eyrmfo2
ırmaklara,eyrmefo2lrh
ırmaklar,eyrmefo2lr
ırmakları,eyrmefo2lry
ırmakların,eyrmefo2lrko3
ırza,erzo1ea
ırzâ,erzo1ea
ırz,arzo1
ırz,au4rzo1
ırzı,au4rzo1y
ırzları,au4rzo1lry
ısdar,ezder
ısdâr,ezder
ısfırar,eu5zfo1rer
ısfırar,ezfo1rer
ısfırâr,ezfo1rer
ısgara,esfo2er
ışı,eyso3y
ışığa,eyso3yao1h
ışığı,eyso3yao1y
ışığına,eyso3yao1bo1h
ışığında,eyso3yao1bo1dh
ışığın,eyso3yao1ko3
ışığını,eyso3yao1bo1y
ışığının,eyso3yao1bo1ko3
ışığıyla,eyso3yao1ylh
ışığıyle,eyso3yao1y eylh
ışığiyle,eyso3yao1ylh
ışıkçığına,eyso3yfo2xu1yao1bo1h
ışık,ebu2so3bu2fo2
ışık,eso3bu2fo2
ışık,eso3yfo2
ışık,eyso3yfo2
ışıkla,eyso3yfo2lh
ışıklanan,eyso3yfo2lebo1ebo1
ışıklandı,eyso3yfo2lebo1dy
ışıklandığı,eyso3yfo2lebo1dyao1y
ışıklandılar,eyso3yfo2lebo1dylr
ışıklandıracağım,eyso3yfo2lebo1dyrh||xu1ao1m
ışıklandıracak,eyso3yfo2lebo1dyrh||xu1fo2
ışıklandıracaktır,eyso3yfo2lebo1dyrh||xu1fo2dr
ışıklandıran,eyso3yfo2lebo1dyrebo1
ışıklandırarak,eyso3yfo2lebo1dyrh||rfo2
ışıklandırdı,eyso3yfo2lebo1dyrdy
ışıklandırdığı,eyso3yfo2lebo1dyrdyao1y
ışıklandırdığın,eyso3yfo2lebo1dyrdyao1ko3
ışıklandırdığını,eyso3yfo2lebo1dyrdyao1bo1y
ışıklandırdılar,eyso3yfo2lebo1dyrdylr
ışıklandırdın,eyso3yfo2lebo1dyrdko3
ışıklandır,eyso3yfo2lebo1dyr
ışıklandırılmıştır,eyso3yfo2lebo1dyrlmso3dr
ışıklandırıp,eyso3yfo2lebo1dyrwbu1
ışıklandırır,eyso3yfo2lebo1dyrr
ışıklandırıyordu,eyso3yfo2lebo1dyryywrdy
ışıklandırıyor,eyso3yfo2lebo1dyryywr
ışıklandırıyorlar,eyso3yfo2lebo1dyryywrlr
ışıklandırmak,eyso3yfo2lebo1dyrmfo2
ışıklandırmaktır,eyso3yfo2lebo1dyrmfo2dr
ışıklandırması,eyso3yfo2lebo1dyrmsy
ışıklandırmayacaktı,eyso3yfo2lebo1dyrmyh||xu1fo2dy
ışıklandırmış,eyso3yfo2lebo1dyrmso3
ışıklandırmışlardır,eyso3yfo2lebo1dyrmso3lrdr
ışıklandırsın,eyso3yfo2lebo1dyrsybo1
ışıklanıp,eyso3yfo2lebo1wbu1
ışıklanır,eyso3yfo2lebo1yr
ışıklanırken,eyso3yfo2lebo1yrkbo1
ışıklanırsa,eyso3yfo2lebo1yrsh
ışıklanmaları,eyso3yfo2lebo1mh||lry
ışıklanmasını,eyso3yfo2lebo1mh||sbo1y
ışıklanmış,eyso3yfo2lebo1mso3
ışıklara,eyso3yfo2lrh
ışıklar,eyso3yfo2lr
ışıklarıdırlar,eyso3yfo2lrydrlr
ışıkları,eyso3yfo2lry
ışıklarına,eyso3yfo2lrybo1h
ışıklarından,eyso3yfo2lrbo1dbo1
ışıkların,eyso3yfo2lrko3
ışıklarını,eyso3yfo2lrybo1y
ışıklarının,eyso3yfo2lrybo1ko3
ışıklarla,eyso3yfo2lrlh
ışıklı,eyso3yfo2ly
ışıktaki,eyso3yfo2dh||ky
ışıktan,eyso3yfo2dbo1
ışıktır,eyso3yfo2dr
ışık vermek,eso3bu2fo2 wbu2rmk
ışık vermek,eso3yfo2 wyrmk
ışıla,eyso3yle
ışılamak,ebu2so3bu2lemfo2
ışılamak,eyso3ylemfo2
ışılat,eyso3ylebo2
ışılatmak,ebu2so3bu2lebo2mfo2
ışılatmak,eyso3ylebo2mfo2
ışılda,eyso3ylde
ışıldamak,ebu2so3bu2ldemfo2
ışıldamak,eyso3yldemfo2
ışıl ışıl,ebu2so3bu2l ebu2so3bu2l
ışıl ışıl,eyso3yl eyso3yl
ışıltı,ebu2so3bu2lbo2y
ışıltı,eyso3ylbo2y
ışımak,ebu2so3bu2mfo2
ışımak,eyso3ymfo2
ısındıran,eyzybo1dyrebo1
ısındırdığın,eyzybo1dyrdyao1ko3
ısındırdılar,eyzybo1dyrdylr
ısındırdın,eyzybo1dyrdko3
ısındırıcı,eyzybo1dyryxu1y
ısındırmak,eyzybo1dyrmfo2
ısın,eyzybo1
ısınmağa,eyzybo1mao1h
ısınmak,ebu2zbu2bo1mfo2
ısınmak,esbo1mfo2
ısınmak,eyzybo1mfo2
ısınmış,eyzybo1mso3
ısır,eyzyr
ısırgan,ebu2zbu2rao1ebo1
ısırgan,eyzyrao1ebo1
ısırgan otu,ezrao1ebo1 ewbo2y
ısırıcı,eyzyryxu1y
ısırık,ebu2zbu2rbu2fo2
ısırık,eyzyryfo2
ısırıl,eyzyrl
ısırılmak,ebu2zbu2rlmfo2
ısırılmak,eyzyrlmfo2
ısırır,ezrr
ısırıyor,eyzyryywr
ısırıyorsunuz,eyzyryywrsko3ro1
ısırmadan,eyzyrmedbo1
ısırmak,ebu2zbu2rmfo2
ısırmak,eyzyrmfo2
ısırmak,ezrmfo2
ısırmakla,eyzyrmfo2lh
ısırmalarından,eyzyrmelrbo1dbo1
ısırmaması,eyzyrmemsy
ısırmamasına,eyzyrmemsbo1h
ısırmasıdır,eyzyrmesydr
ısırması,eyzyrmesy
ısırmasına,eyzyrmesbo1h
ısırmasından,eyzyrmesbo1dbo1
ısırmasın,eyzyrmesybo1
ısırmasını,eyzyrmesbo1y
ısırmasıyla,eyzyrmesylh
ısırmaya çabalamak,ezrmao1h xu3bu1elmfo2
ısırmaz,eyzyrmero1
ısırmış,eyzyrmso3
ısırsa,eyzyrsh
ısırt,eyzyrbo2
ısırtmak,ebu2zbu2rbo2mfo2
ısırtmak,eyzyrbo2mfo2
ısırttı,eyzyrbo2dy
ısıt,esybo2
ısıtıcı,eyzydyxu1y
ısıtıyor,eyzybo2yywr
ısıtma,ebu2sbo2mh
ısıtma,eysbo2mh||
ısıtmağa,eyzybo2mao1h
ısıtmak,esbo2mfo2
ısıtmak,esbu2bo2mfo2
ısıtmak,esybo2mfo2
ısıtmak,eyzybo2mfo2
ısıtma (sıtma),ebu2sbo2mh
ısıtma (sıtma),eysbo2mh||
ışka,aso3fo2h
ışka,aso3fo2h||
ıskaat,esfo2et
ıskala,esfo2elh
ıskala,esfo2elh||
ıskara,esfo2erh
ıskara,esfo2erh||
ıskarmoz,esfo2ermwro1
ıskarta,esfo2erth
ıskarta,esfo2erth||
ışk,aso3fo2
ıskatcı,esfo2etxu1y
ıskat,esfo2et
ıskât,esfo2et
ıskat,eu5sfo2et
ıskât-ı cenîn,esfo2et xu1bo1bu2bo1
ıskat-ı cenin,esfo2et xu1bo1ybo1
ısla,eyzle
ıslaha,eu5zlexh
ıslahatçı,eu5zlexebo2xu1y
ıslahatçının,eu5zlexebo2xu1ybo1ko3
ıslahat,eu5zlexebo2
ıslahat,ezlexebo2
ıslâhat,ezlexebo2
ıslâhât,ezlexebo2
ıslahatı,eu5zlexebo2y
ıslah etmek,ezlex e
ıslâh etmek,ezlex e
ıslah,eu4zo0lo4exo0
ıslâh,eu4zo0lo4exo0
ıslah,eu5zlex
ıslah,ezlex
ıslâh,ezlex
ıslahhane,eu4zo0lo4exo0xo1o4ebo1o4h||
ıslahhâne,eu4zo0lo4exo0xo1o4ebo1o4h
ıslahhane,eu5zlexxo1ebo1h
ıslah-ı,eu5zlexu4
ıslahı,eu5zlexy
ıslah-ı hal,eu4zo0leo4xu4 xo4elo0
ıslâh-ı hâl,eu4zo0leo4xu4 xo4elo0
ıslahına,eu5zlexbo1h
ıslahından,eu5zlexbo1dbo1
ıslahını,eu5zlexbo1y
ıslahla,eu5zlex eylh
ıslahlar,eu5zlexlr
ıslahları,eu5zlexlry
ıslahlarını,eu5zlexlrybo1y
ıslahlarınıza,eu5zlexlryko3ro1h
ıslah olunmak,ezlex ewlbo1mfo2
ıslâh olunmak,ezlex ewlbo1mfo2
ıslahpezir,ezlex bu3do1yr
ıslâhpezîr,ezlex bu3do1yr
ıslahta,eu5zlexdh
ıslahtan,eu5zlexdbo1
ıslak,ezlefo2
ıslâk,ezlefo2
ıslamak,ebu2zlemfo2
ıslamak,eyzlemfo2
ıslan,eyzlebo1
ıslanmak,ebu2zlebo1mfo2
ıslanmak,eyzlebo1mfo2
ıslanmak,ezlebo1mfo2
ıslanmak,ezlebo1mso3
ıslatamadı,eyzlebo2h||mdy
ıslat,eyzlebo2
ıslatıp çektirmek,ezledwbu1 xu3kdrmk
ıslatmak,ebu2zlebo2mfo2
ıslatmak,eyzlebo2mfo2
ıslatmak,ezlebo2mfo2
ıslatmamak,eyzlebo2memfo2
ıslattıracak,eyzlebo2dyrh||xu1fo2
ıslık çalmak,ezlfo2 xu3elmfo2
ıslık,ebu2slbu2fo2
ıslık,eyslyfo2
ıslık,ezlfo2
ısmarladı,eyzmerledy
ısmarladık,eyzmerledfo2
ısmarla,ezmerle
ısmarlama,ezmerlemh
ısmarlama,ezmerlemh||
ısmarlama,ezmerlmh
ısmarlama,ezmerlmh||
ısmarlamak,ezmerlemfo2
ısmarlamak,ezmerlmfo2
ısmarlayınız,eu5yzmerleyko3ro1
ıspanak,esbu3bo1ek
ıspanak,esbu3ebo1efo2
ısparta-afyon,eu5sbu3erth eo6fo1ywbo1
ısparta'dadır,eu5sbu3erth||dh||dr
ısparta'da,eu5sbu3erth||dh
ısparta'daki,eu5sbu3erth||dh||ky
ıspartadakiler,eu5sbu3erth||dh||kylr
ısparta'dan,eu5sbu3erth||dbo1
ısparta,eu5sbu3erth
ısparta,eu5sbu3erth||
ısparta'lıdırlar,eu5sbu3erth||lydrlr
ısparta'lı,eu5sbu3erth||ly
ıspartalı,eu5sbu3erth||ly
ısparta'lılara,eu5sbu3erth||lylrh
ıspartalılara,eu5sbu3erth||lylrh
ısparta'lılar,eu5sbu3erth||lylr
ısparta'lısın,eu5sbu3erth||lysko3
ısparta'lıyım,eu5sbu3erth||ly||ym
ıspartalıyım,eu5sbu3erth||ly||ym
ısparta'nın,eu5sbu3erth||bo1ko3
ısparta'nızı,eu5sbu3erth||ko3ro1y
ısparta'ya,eu5sbu3erth||yh
ıspartaya,eu5sbu3erth||yh
ısparta'yı,eu5sbu3erth||yy
ısrara,eu5zrerh
ısrarcı,eu5zrerxu1y
ısrar,eu5zrer
ısrar,ezrer
ısrâr,ezrer
ısrarı,eu5zrery
ısrarımla,eu5zrermlh
ısrarına,eu5zrerybo1h
ısrarını,eu5zrerybo1y
ısrarınıza,eu5zreryko3ro1h
ısrarınla,eu5zrerko3lh
ısrarıyla,eu5zrerylh
ısrarla,eu5zrerlh
ısrarları,eu5zrerlry
ısrarlarla,eu5zrerlrlh
ıssı,eu5so8y
ıssız,essro1
ıssız,eyzsro1
ıssız,ezsro1
ıssızlık,eyzsro1lfo2
ıssız yer,essro1bu2r
ıssız yer,essro1yr
ıstıbar,eztbu1er
ıstıbâr,eztbu1er
ıstıfa,eo5sbo2fo1e
ıstıfâ,eo5sbo2fo1e
ıstıfa,eu4zo0tu4fo1o4e
ıstıfâ,eu4zo0tu4fo1o4e
ıstıfa,eu5ztfo1e
ıstıfa,eztfo1e
ıstıfâ,eztfo1e
ıstıfagerde,eu5ztfo1eko7rdh
ıstıfai,eztfo1ebo5y
ıstıfâî,eztfo1ebo5y
ıstılahat,eztlexebo2
ıstılâhât,eztlexebo2
ıstılahat-ı,eu5ztlexebo2u4
ıstılahatı,eu5ztlexebo2y
ıstılahatından,eu5ztlexebo2bo1dbo1
ıstılahat,ztlexebo2
ıstılahen,eu5ztlexo44e
ıstılah,eu4zo0tu4lo4exo0
ıstılâh,eu4zo0tu4lo4exo0
ıstılah,eztlex
ıstılâh,eztlex
ıstılahi,eztlexy
ıstılâhî,eztlexy
ıstılahıma,eu5ztlexmh
ıstılahınca,eu5ztlexbo1xu1h
ıstılahınızca,eu5ztlexko3ro1xu1h
ıstılahla,eu5ztlexlh
ıstılahtır,eu5ztlexdr
ıstına',eztbo1ea
ıstına’,eztbo1ea
ıstınâ',eztbo1ea
ıstırab,ezo1trebu1
ıstırap,ezo1trebu1
ıstırar,ezo1trer
ıtır,atr
ıtk,abo2fo2
ıtkname,abo2fo2 bo1emh||
ıtknâme,abo2fo2 bo1emh
ıtlaka,eu5tlefo2h
ıtlakatıdır,eu5tlefo2ebo2ydr
ıtlakatı,eu5tlefo2ebo2y
ıtlak,etlefo2
ıtlak,eu5tlefo2
ıtlak-ı,eu5tlefo2u4
ıtlakı,eu5tlefo2y
ıtlak-i inan,etlefo2 abo1ebo1
ıtlâk-i inân,etlefo2 abo1ebo1
ıtlak-i inan etmek,etlefo2 abo1ebo1 e
ıtlâk-i inân etmek,etlefo2 abo1ebo1 e
ıtlakına,eu5tlefo2bo1h
ıtlakın,eu5tlefo2ko3
ıtlakını,eu5tlefo2bo1y
ıtlakla,eu5tlefo2lh
ıtlakları,eu5tlefo2lry
ıtlakta,eu5tlefo2dh
ıtlaktır,eu5tlefo2dr
ıtnab,etbo1ebu1
ıtnâb,etbo1ebu1
ıtr,atr
ıtri,atry
ıtrî,atry
ıtr-i şahi,atrso3ehy
ıtr-i şahî,atrso3ehy
ıtriyât,atrbu2ebo2
ıtriyat,atryebo2
ıtriyyat,atryebo2
ıtriyyât,atryebo2
ıtr yağı,atr bu2eao1y
ıtr yağı,atr yeao1y
ıttılaat,etleaebo2
ıttılâât,etleaebo2
ıttıladan,eu5to8leadbo1
ıttila,etlea
ıttilâ,etlea
ıttıla',etlea
ıttıla’,etlea
ıttılâ',etlea
ıttıla',eu4tu4o8lo4eao0
ıttılâ',eu4tu4o8lo4eao0
ıttıla,eu5to8lea
ıttıla',eu5to8lea
ıttıla-ı,eu5to8leau4
ıttıla'-ı,eu5to8leau4
ıttıla'ı,eu5to8leay
ıttılaı,eu5to8leay
ıttılâı,eu5to8leay
ıttılaına,eu5to8leabo1h
ıttılaından,eu5to8leabo1dbo1
ıttılaını,eu5to8leabo1y
ıttırada,eu5to8redh
ıttıraddan,eu5to8reddbo1
ıttırad,etred
ıttırâd,etred
ıttırad,eu5to8red
ıttırad-ı,eu5to8redu4
ıttıradî,eu5to8redy
ıttıradı,eu5to8redy
ıttıradsız,etredsro1
ıttırâdsız,etredsro1
ıyâdet,abu2edbo2
ıyadet,ayedbo2
ıyâl,abu2el
ıyal,ayel
ıyaz,au4yezo1
ıyaz'ın,au4yezo1ko3
ız'af,ezo1aefo1
ız’af,ezo1aefo1
ız'âf,ezo1aefo1
ızdıraba,eu5zo1trebu1h
ızdırabat,eu5zo1trebu1ebo2
ızdırabat-ı,eu5zo1trebu1ebo2u4
ızdırabatı,eu5zo1trebu1ebo2y
ızdırabatına,eu5zo1trebu1ebo2bo1h
ızdırabattan,eu5zo1trebu1ebo2dbo1
ızdırabda,eu5zo1trebu1dh
ızdırabdan,eu5zo1trebu1dbo1
ızdırab,eu5zo1trebu1
ızdırabı,eu5zo1trebu1y
ızdırabım,eu5zo1trebu1m
ızdırabımı,eu5zo1trebu1my
ızdırabına,eu5zo1trebu1bo1h
ızdırabından,eu5zo1trebu1bo1dbo1
ızdırabın,eu5zo1trebu1ko3
ızdırabını,eu5zo1trebu1bo1y
ızdırablara,eu5zo1trebu1lrh
ızdırablar,eu5zo1trebu1lr
ızdırabları,eu5zo1trebu1lry
ızdırablarımın,eu5zo1trebu1lrymko3
ızdırablarımız,eu5zo1trebu1lrymro1
ızdırablarımızı,eu5zo1trebu1lrymro1y
ızdırabların,eu5zo1trebu1lrko3
ızdırablarını,eu5zo1trebu1lrybo1y
ızdırablarıyla,eu5zo1trebu1lrylh
ızdırablı,eu5zo1trebu1ly
ızdırabsız,eu5zo1trebu1sro1
ızdırap,eu5zo1trebu1
ızdırap,ezo1trebu1
ızdırardır,eu5zo1trerdr
ızdıraren,eu5zo1trero44e
ızdırar,eu5zo1trer
ızdırarîdir,eu5zo1trerydr
ızdırarî,eu5zo1trery
ızdırarıyla,eu5zo1trerylh
ızgarada kızartmak,esfo2erh dh fo2ro1erbo2mfo2
ızgara,esfo2erh
ızgara,esfo2erh||
ızgara etmek,esfo2rh e
ızlal,eto1lel
ızlâl,eto1lel
ızlal,ezo1lel
ızlâl,ezo1lel
ızmar etmek,ezo1mere
ızmâr etmek,ezo1mere
ızrar,eu4zo1o0ro4ero0
ızrâr,eu4zo1o0ro4ero0
ızrar,eu5zo1rer
ızrar,ezo1rer
ızrâr,ezo1rer
ızrar-ı,eu5zo1reru4
ıztırabaver,ezo1trebu1 eo6wr
ıztırâbâver,ezo1trebu1 eo6wr
ıztırab,ezo1trebu1
ıztırâb,ezo1trebu1
ıztırâb vermek,ezo1trebu1 wbu2rmk
ıztırab vermek,ezo1trebu1 wyrmk
ıztırap,eu5zo1trebu1
ıztırapsız,eu5zo1trebu1sro1
ıztırardır,eu5zo1trerdr
ıztırar,eu5zo1trer
ıztırar,ezo1trer
ıztırâr,ezo1trer
ıztırari,ezo1trery
ıztırârî,ezo1trery
ıztırariyle,eu5zo1trerylh
ızzet,aro1bo2
ızzetle,aro1bo2lh||
ızzetlemek,aro1bo2lh||mk
ızzetlemek,aro1bo2lh||mk
ızzetlen,aro1bo2lbo1
ızzetlenmek,aro1bo2lbo1mk
ızzetli,aro1bo2ly
