Abbas_'a,abu1o8esh,عبّاسه
Ataç,eo6bo2exu3,آتاچ
Ataöv,eo6bo2e eww,آتا اوو
Ataöv,eo6bo2eeww,آتااوو
Ataün,eo6bo2eewko3,آتااوڭ
Ataışık,eo6bo2e eyso3yfo2,آتا ایشیق
Ataş,atso3,عطش
Ateş,ebo2so3,اتش
Ateş,eo6bo2so3,آتش
Ateşalp,ebo2so3 eo6lbu3,اتش آلپ
Ateşoğlu,ebo2so3 ewao1ly,اتش اوغلی
Ateşoğulları,ebo2so3 ewao1wllry,اتش اوغوللری
Atfi,aetfo1y,عاطفی
Atgun,eo6bo2ao1wbo1,آتغون
Atik,abo2yfo2,عتیق
Atila,eo6bo2yle,آتیلا
Atila,eo6bo2ylh,آتیله
Atilla,eo6bo2ylle,آتیللا
Atime,etamh,اطعمه
Atina,ebo2bu2bo1e,اتينا
Atiye,eo6bo2yh,آتیه
Atlan,eo6bo2lebo1,آتلان
Atlas,etles,اطلاس
Atlı,eo6bo2ly,آتلی
Atlıhan,eo6bo2lyxo1ebo1,آتلیخان
Atlıoğlu,eo6bo2ly ewao1ly,آتلی اوغلی
Atlığ,eo6bo2lyao1,آتلیغ
Atmaca,eo6bo2mexu1h,آتماجه
Atom,eo6bo2wm,آتوم
Attila,eo6bo2bo2yle,آتتیلا
Attila,eo6bo2yle,آتیلا
Attilâ,eo6bo2yle,آتیلا
Atuf,atwfo1,عطوف
Atıcı,eo6bo2yxu1y,آتیجی
Atıf,aetfo1,عاطف
Atıfa,aetfo1h,عاطفه
Atıfe,aetfo1h,عاطفه
Atıl,aetl,عاطل
Atılay,eo6tyley,آطیلای
Atılgan,eo6bo2ylao1ebo1,آتیلغان
Atılgan,eo6tylao1ebo1,آطیلغان
Atığ,eo6bo2yao1,آتیغ
Avanos,eo6webo1ws,آوانوس
Avar,awer,عوار
Avar,eo6wer,آوار
Avcı,eo6wxu1y,آوجی
Avgın,eo6wao1ybo1,آوغین
Avhan,eo6wxo1ebo1,آوخان
Avkan,eo6wfo2ebo1,آوقان
Avni,awbo1y,عونی
Avniye,awbo1yh,عونیه
Avrupa,eo6wrwbu3e,آوروپا
Avundukluoğlu,eo6wwbo1dfo2ly ewao1ly,آووندقلی اوغلی
Avunç,eo6wwbo1xu3,آوونچ
Avustralya,eo6wsbo2relye,آوسترالیا
Avusturya,eo6wsbo2rye,آوستریا
Avşar,eo6wso3er,آوشار
Avşargil,eo6wso3erko7yl,آوشارگیل
Ay,eo4y,اَی
Ay,eo6y,آی
Aya,eo6ye,آیا
Ayaba,eo6yebu1e,آیابا
Ayal,eo6yel,آیال
Ayalan,eo6yelebo1,آیالان
Ayalp,eo6y eo6lbu3,آی آلپ
Ayalp,eo6yelbu3,آیالپ
Ayaltın,eo6yelbo2wbo1,آیالتون
Ayan,eo6yebo1,آیان
Ayana,eo6yebo1h,آیانه
Ayancık,ayebo1xu1fo2,عیانجق
Ayanfer,eo6yebo1fo1r,آیانفر
Ayanoğlu,eo6yebo1 ewao1ly,آیان اوغلی
Ayanç,eo6yebo1xu3,آیانچ
Ayar,ayer,عیار
Ayas,eo6yes,آیاس
Ayasun,eo6yezwbo1,آیاصون
Ayata,eo6yebo2e,آیاتا
Ayata,eo6yebo2h,آیاته
Ayataç,eo6yebo2exu3,آیاتاچ
Ayaydın,eo6yeo6ydybo1,آیآیدین
Ayaydın,eo6yeydybo1,آیایدین
Ayaz,eo6yero1,آیاز
Ayaça,eo6yexu3e,آیاچا
Ayaş,eo6yeso3,آیاش
Ayaşan,eo6yeso3ebo1,آیاشان
Ayaşlı,eo6yeso3ly,آیاشلی
Aybala,eo6ybu1ele,آیبالا
Aybanu,eo6ybu1ebo1w,آیبانو
Aybar,eo6ybu1er,آیبار
Aybars,eo6ybu1ers,آیبارس
Aybay,eo6ybu1ey,آیبای
Aybaş,eo6ybu1eso3,آیباش
Aybegim,eo6ybu1ko7ym,آیبگیم
Aybegüm,eo6ybu1ko7wm,آیبگوم
Aybek,eo6ybu1ko7,آیبگ
Ayben,eo6ybu1bo1,آیبن
Aybeniz,eo6ybu1ko3yro1,آیبڭیز
Ayberk,eo6ybu1rfo2,آیبرق
Aybet,eo6ybu1bo2,آیبت
Aybey,eo6ybu1ko7,آیبگ
Aybige,eo6ybu1yko7h,آیبیگه
Aybike,eo6ybu1ykh,آیبیکه
Aybir,eo6ybu1r,آیبر
Aybirgen,eo6ybu1rko7bo1,آیبرگن
Aybora,eo6ybu1wre,آیبورا
Ayboğa,eo6ybu1wao1h,آیبوغه
Aybüge,eo6ybu1wko7h,آیبوگه
Aybüke,eo6ybu1wkh,آیبوکه
Ayca,eo6yxu1e,آیجا
Aycagül,eo6yxu1eko7l,آیجاگل
Aycahan,eo6yxu1exo1ebo1,آیجاخان
Aycan,eo6yxu1ebo1,آیجان
Aycennet,eo6yxu1bo1bo2,آیجنت
Ayceren,eo6yxu1rbo1,آیجرن
Aycihan,eo6yxu1hebo1,آیجهان
Aycıl,eo6yxu1yl,آیجیل
Ayda,eo6yde,آیدا
Aydagül,eo6ydeko7l,آیداگل
Aydan,eo6ydebo1,آیدان
Aydanarı,eo6ydebo1ery,آیداناری
Aydanur,eo6ydebo1wr,آیدانور
Aydar,eo6yder,آیدار
Aydemir,eo6ydmyr,آیدمیر
Aydeniz,eo6ydko3bu2ro1,آیدڭيز
Aydenk,eo6ydbo1k,آیدنک
Aydil,eo6ydl,آیدل
Aydilek,eo6ydylk,آیدیلک
Aydinç,eo6ydybo1xu3,آیدینچ
Aydolu,eo6ytwlw,آیطولو
Aydolun,eo6ydwlwbo1,آیدولون
Aydonat,eo6ydwbo1ebo2,آیدونات
Aydoğan,eo6y twao1ebo1,آی طوغان
Aydoğan,eo6ytwao1ebo1,آیطوغان
Aydoğdu,eo6ytwao1dy,آیطوغدی
Aydoğmuş,eo6ytwao1mso3,آیطوغمش
Ayduru,eo6ytwrw,آیطورو
Aydın,eo6ydybo1,آیدین
Aydınalp,eo6ydybo1 eo5lbu3,آیدین ألپ
Aydınay,eo6ydybo1 eo6y,آیدین آی
Aydınbay,eo6ydybo1bu1ey,آیدینبای
Aydınbaş,eo6ydybo1bu1eso3,آیدینباش
Aydınbey,eo6ydybo1bu1ko7,آیدینبگ
Aydındağ,eo6ydybo1deao1,آیدینداغ
Aydındağ,eo6ydybo1teao1,آیدینطاغ
Aydınel,eo6ydybo1 el,آیدین ال
Aydıner,eo6ydybo1 eo5r,آیدین أر
Aydıner,eo6ydybo1 er,آیدین ار
Aydınlar,eo6ydybo1lr,آیدینلر
Aydınlı,eo6ydybo1ly,آیدینلی
Aydınlık,eo6ydybo1lfo2,آیدینلق
Aydınlıoğlu,eo6ydybo1ly ewao1ly,آیدینلی اوغلی
Aydınol,eo6ydybo1 ewl,آیدین اول
Aydıntan,eo6ydybo1bo2ebo1,آیدینتان
Aydıntuğ,eo6ydybo1bo2wao1,آیدینتوغ
Aydınyol,eo6ydybo1 ywl,آیدین یول
Aydınçer,eo6ydybo1xu3r,آیدینچر
Ayerdem,eo6y erdm,آی اردم
Ayet,eo6ybo2,آیت
Ayetullah,eo6yho2ellh,آیةالله
Ayfer,eo6yfo1r,آیفر
Ayferi,eo6yfo1ry,آیفری
Ayferim,eo6yfo1rym,آیفریم
Aygen,eo6yko7bo1,آیگن
Aygerim,eo6yko7rym,آیگریم
Aygut,eo6yao1wbo2,آیغوت
Aygutalp,eo6yao1wbo2 eo6lbu3,آیغوت آلپ
Aygök,eo6yko7wk,آیگوک
Aygöl,eo6yko7wl,آیگول
Aygönenç,eo6yko7wbo1bo1xu3,آیگوننچ
Aygönül,eo6yko7wko3l,آیگوڭل
Aygül,eo6yko7wl,آیگول
Aygüler,eo6yko7wlr,آیگولر
Aygülhan,eo6yko7wlxo1ebo1,آیگولخان
Aygümüş,eo6yko7wmwso3,آیگوموش
Aygün,eo6yko7wbo1,آیگون
Aygüner,eo6yko7wbo1r,آیگونر
Aygünkız,eo6yko7wbo1fo2yro1,آیگونقیز
Aygür,eo6yko7wr,آیگور
Aygüzel,eo6yko7wro1l,آیگوزل
Ayhan,eo6yxo1ebo1,آیخان
Ayhanım,eo6yxo1ebo1m,آیخانم
Ayhatun,eo6yxo1ebo2wbo1,آیخاتون
Ayhen,eo6yhbo1,آیهن
Ayik,eo6yk,آیک
Ayilkin,eo6yylkybo1,آییلکین
Aykal,eo6yfo2el,آیقال
Aykan,eo6yfo2ebo1,آیقان
Aykar,eo6yfo2er,آیقار
Aykatun,eo6yfo2ebo2wbo1,آیقاتون
Aykaç,eo6yfo2exu3,آیقاچ
Aykaş,eo6yfo2eso3,آیقاش
Aykul,eo6yfo2wl,آیقول
Aykurt,eo6yfo2wrbo2,آیقورت
Aykut,eo6yfo2wbo2,آیقوت
Aykutalp,eo6yfo2wbo2 eo6lbu3,آیقوت آلپ
Aykutlu,eo6yfo2wbo2lw,آیقوتلو
Aykönül,eo6ykwko3l,آیکوڭل
Aykün,eo6ykwbo1,آیکون
Aykın,eo6yfo2ybo1,آیقین
Aykız,eo6yfo2yro1,آیقیز
Ayla,eo6yle,آیلا
Aylan,eo6ylebo1,آیلان
Aylanur,eo6ylebo1wr,آیلانور
Aylin,eo6ylybo1,آیلین
Ayman,eo6ymebo1,آیمان
Aymaral,eo6ymerel,آیمارال
Aymelek,eo6ymlk,آیملک
Aymete,eo6ymbo2h,آیمته
Aymutlu,eo6ymwbo2lw,آیموتلو
Ayna,eo6ybo1h,آینه
Aynagül,eo6ybo1h ko7l,آینه گل
Ayni,aybo1y,عینی
Ayni,eo6ybo1y,آینی
Aynisa,eo6ybo1yse,آینیسا
Ayniye,eo6ybo1yh,آینیه
Aynişah,aybo1yso3eh,عینیشاه
Aynur,eo6ybo1wr,آینور
Aynıfer,aybo1yfo1r,عینیفر
Aynımah,aybo1ymeh,عینیماه
Aypar,eo6ybu3er,آیپار
Aypare,eo6ybu3erh,آیپاره
Aypars,eo6ybu3ers,آیپارس
Ayperi,eo6ybu3ry,آیپری
Aypolat,eo6ybu3wled,آیپولاد
Aypınar,eo6ybu3yko3er,آیپیڭار
Ayral,eo6yrel,آیرال
Ayrancı,eo6yrebo1xu1y,آیرانجی
Ayrıl,eo6yryl,آیریل
Ayrım,eo6yrym,آیریم
Aysal,eo6ysel,آیسال
Aysal,eo6yzel,آیصال
Aysan,eo6ysebo1,آیسان
Aysel,eo6ysl,آیسل
Ayselen,eo6yslbo1,آیسلن
Aysema,eo6ysme,آیسما
Aysen,eo6ysbo1,آیسن
Ayser,eo6ysr,آیسر
Aysere,eo6ysrh,آیسره
Ayseren,eo6ysrbo1,آیسرن
Aysev,eo6ysw,آیسو
Ayseven,eo6yswbo1,آیسون
Aysever,eo6yswr,آیسور
Aysevil,eo6yswyl,آیسویل
Aysevim,eo6yswym,آیسویم
Aysevin,eo6yswybo1,آیسوین
Aysim,eo6ysym,آیسیم
Aysima,eo6ysyme,آیسیما
Aysine,eo6ysybo1h,آیسینه
Aysoy,eo6yzwy,آیصوی
Aysu,eo6yzw,آیصو
Aysuda,eo6yzwdh,آیصوده
Aysultan,eo6ysltebo1,آیسلطان
Aysun,eo6yswbo1,آیسون
Aysun,eo6yzwbo1,آیصون
Aysuna,eo6yzwbo1e,آیصونا
Aysunar,eo6yzwbo1er,آیصونار
Aysunay,eo6yzwbo1ey,آیصونای
Aysungur,eo6yzwbo1ao1wr,آیصونغور
Aysü,eo6yzw,آیصو
Aysılu,eo6yzylw,آیصیلو
Aysın,eo6yzybo1,آیصین
Aytaman,eo6ybo2emebo1,آیتامان
Aytan,eo6ybo2ebo1,آیتان
Aytar,eo6ybo2er,آیتار
Aytaç,eo6ybo2exu3,آیتاچ
Aytaş,eo6ydeso3,آیداش
Aytaş,eo6yteso3,آیطاش
Aytek,eo6ybo2k,آیتک
Aytekin,eo6ybo2kybo1,آیتکین
Aytemiz,eo6ybo2myro1,آیتمیز
Aytemur,eo6ybo2mwr,آیتمور
Ayten,eo6ybo2bo1,آیتن
Ayterim,eo6ybo2rym,آیتریم
Aytigin,eo6ybo2yko7ybo1,آیتیگین
Aytimur,eo6ybo2ymwr,آیتیمور
Aytirim,eo6ybo2yrym,آیتیریم
Aytok,eo6ytwfo2,آیطوق
Aytolun,eo6ytwlwbo1,آیطولون
Aytop,eo6ytwbu3,آیطوپ
Aytuna,eo6ybo2wbo1h,آیتونه
Aytuna,eo6ytwbo1e,آیطونا
Aytunca,eo6ybo2wbo1xu1h,آیتونجه
Aytunga,eo6ytwbo1ao1h,آیطونغه
Aytunç,eo6ybo2wbo1xu3,آیتونچ
Aytutkun,eo6ytwbo2ao1wbo1,آیطوتغون
Aytuğ,eo6ybo2wao1,آیتوغ
Aytöre,eo6ybo2wrh,آیتوره
Aytöz,eo6ybo2wro1,آیتوز
Aytül,eo6ybo2wl,آیتول
Aytün,eo6ybo2wbo1,آیتون
Aytürk,eo6ybo2wrk,آیتورک
Aytış,eo6ybo2yso3,آیتیش
Ayulduz,eo6ywlwro1,آیولوز
Ayva,eo6ywh,آیوه
Ayvacık,eo6ywexu1fo2,آیواجق
Ayvalık,eo6ywelfo2,آیوالق
Ayvaz,eo6ywero1,آیواز
Ayver,eo6y wyr,آی ویر
Ayverdi,eo6ywyrdy,آیویردی
Ayyalap,eo6yyelebu3,آییالاپ
Ayyalın,eo6yyelybo1,آییالین
Ayyarkın,eo6yyerfo2ybo1,آییارقین
Ayyaruk,eo6yyerwfo2,آییاروق
Ayyuca,eo6yywxu1h,آییوجه
Ayyüce,eo6yywxu1h,آییوجه
Ayyüz,eo6yywro1,آییوز
Ayyıldız,eo6y yyldyro1,آی ییلدیز
Ayzühre,eo6y ro1hrh,آی زهره
Ayzıt,eo6yzo1yd,آیضید
Ayça,eo6yxu3e,آیچا
Ayçağ,eo6yxu3eao1,آیچاغ
Ayçetin,eo6yxu3bo2ybo1,آیچتین
Ayçil,eo6yxu3yl,آیچیل
Ayçiçek,eo6yxu3yxu3k,آیچیچک
Ayçolpan,eo6yxu3wlbu3ebo1,آیچولپان
Ayçulpan,eo6yxu3wlbu3ebo1,آیچولپان
Ayçıl,eo6yxu3yl,آیچیل
Ayülger,eo6ywlko7r,آیولگر
Ayülker,eo6ywlkr,آیولکر
Ayün,aywbo1,عیون
Ayık,eo6yyfo2,آییق
Ayım,eo6yym,آییم
Ayımbet,eo6yymbu1bo2,آییمبت
Ayımşa,eo6yymso3e,آییمشا
Ayışını,eo6y eyso3ybo1y,آی ایشینی
Ayışığı,eo6y eyso3yao1y,آی ایشیغی
Ayşan,eo6yso3ebo1,آیشان
Ayşe,aebo5so3h,عائشه
Ayşecan,aebo5so3h xu1ebo1,عائشه جان
Ayşedudu,aebo5so3h dwdw,عائشه دودو
Ayşegül,aebo5so3h ko7l,عائشه گل
Ayşehan,aebo5so3h xo1ebo1,عائشه خان
Ayşen,eo6yso3bo1,آیشن
Ayşenur,aebo5so3h bo1wr,عائشه نور
Ayşim,eo6yso3ym,آیشیم
Ayşin,eo6yso3ybo1,آیشین
Ayşirin,eo6yso3yrybo1,آیشیرین
Ayşöhret,eo6yso3hrbo2,آیشهرت
Ayşıl,eo6yso3yl,آیشیل
Ayşın,eo6yso3ybo1,آیشین
Azade,eo6ro1edh,آزاده
Azadi,eo6ro1edy,آزادی
Azak,eo6ro1efo2,آزاق
Azam,eato1m,اعظم
Azam,ezo1m,اضم
Azamet,ato1embo2,عظامت
Azamettin,aro1em eldybo1,عزام الدین
Azamettin,ato1em eldybo1,عظام الدین
Azat,eo6ro1ed,آزاد
Azelya,eo6ro1lye,آزلیا
Azer,eo6do1r,آذر
Azer,eo6ro1r,آزر
Azim,ato1ym,عظیم
Azime,ato1ymh,عظیمه
Aziz,aro1yro1,عزیز
Azizağaoğlu,aro1yro1 eo6ao1e ewao1ly,عزیز آغا اوغلی
Azize,aro1yro1h,عزیزه
Aziziye,aro1yro1yh,عزیزیه
Azizoğlu,aro1yro1ewao1ly,عزیزاوغلی
Azmi,aro1my,عزمی
Azmidil,aro1mydl,عزمیدل
Azmioğlu,aro1my ewao1ly,عزمی اوغلی
Azmun,eo6ro1mwbo1,آزمون
Aznavur,eo6ro1bo1ewwr,آزناوور
Azra,ado1re,عذرا
Azrak,eo6ro1refo2,آزراق
Azze,aro1,عز
Aça,eo6xu3e,آچا
Açalya,eo6xu3elyh,آچالیه
Açanal,eo6xu3ebo1 eo6l,آچان آل
Açangül,eo6xu3ebo1ko7l,آچانگل
Açba,eo6xu3bu1e,آچبا
Açelya,eo6xu3lyh,آچلیه
Açine,eo6xu3ybo1h,آچینه
Açkıngül,eo6xu3fo2ybo1ko7l,آچقینگل
Açık,eo6xu3yfo2,آچیق
Açıkalın,eo6xu3yfo2 eo6lybo1,آچیق آلین
Açıkel,eo6xu3yfo2 eo5l,آچیق أل
Açıker,eo6xu3yfo2 eo5r,آچیق أر
Açıkgöz,eo6xu3yfo2 ko7wro1,آچیق گوز
Açıkgün,eo6xu3yfo2kwbo1,آچیقکون
Açıksöz,eo6xu3yfo2swro1,آچیقسوز
Açıl,eo6xu3yl,آچیل
Açılay,eo6xu3yley,آچیلای
Ağa,eo6ao1e,آغا
Ağa,eo6ao1h,آغه
Ağabaloğlu,eo6ao1ebu1el ewao1ly,آغابال اوغلی
Ağabay,eo6ao1ebu1ey,آغابای
Ağabeyoğlu,eo6ao1ebu1ko7 ewao1ly,آغابگ اوغلی
Ağacan,eo6ao1exu1ebo1,آغاجان
Ağacık,eo6ao1exu1yfo2,آغاجیق
Ağacıkoğlu,eo6ao1exu1yfo2 ewao1ly,آغاجیق اوغلی
Ağagil,eo6ao1eko7l,آغاگل
Ağahan,eo6ao1exo1ebo1,آغاخان
Ağahanım,eo6ao1exo1ebo1m,آغاخانم
Ağahatun,eo6ao1exo1ebo2wbo1,آغاخاتون
Ağakan,eo6ao1efo2ebo1,آغاقان
Ağakatun,eo6ao1efo2ebo2wbo1,آغاقاتون
Ağakay,eo6ao1efo2ey,آغاقای
Ağalday,eo6ao1eldey,آغالدای
Ağan,eo6ao1ebo1,آغان
Ağanbegim,eo6ao1ebo1bu1ko7ym,آغانبگیم
Ağanbegüm,eo6ao1ebo1bu1ko7wm,آغانبگوم
Ağanbike,eo6ao1ebo1bu1ykh,آغانبیکه
Ağanbüke,eo6ao1ebo1bu1wkh,آغانبوکه
Ağaner,eo6ao1ebo1 eo5r,آغان أر
Ağanoğlu,eo6ao1ebo1 ewao1ly,آغان اوغلی
Ağaoğlu,eo6ao1eewao1ly,آغااوغلی
Ağaoğlu,eo6ao1h ewao1ly,آغه اوغلی
Ağaoğulları,eo6ao1h ewao1llry,آغه اوغللری
Ağar,eo6ao1er,آغار
Ağar,eo6ao1r,آغر
Ağarantan,eo6ao1erebo1tebo1,آغارانطان
Ağaverdi,eo6ao1ewyrdy,آغاویردی
Ağaçören,eo6ao1exu1 ewrbo1,آغاج اورن
Ağbaba,eo6ao1bu1ebu1e,آغبابا
Ağbacı,eo6ao1bu1exu1y,آغباجی
Ağbegim,eo6ao1bu1ko7ym,آغبگیم
Ağbegüm,eo6ao1bu1ko7wm,آغبگوم
Ağbet,eo6ao1bu1bo2,آغبت
Ağbilek,eo6ao1bu1ylk,آغبیلک
Ağca,eo6ao1xu1h,آغجه
Ağcabey,eo6ao1xu1ebu1ko7,آغجابگ
Ağer,eo6ao1r,آغر
Ağgül,eo6ao1ko7l,آغگل
Ağkız,eo6ao1fo2yro1,آغقیز
Ağnak,eo6ao1bo1efo2,آغناق
Ağralı,eo6ao1rh ly,آغره لی
Ağustos,eo6ao1sbo2ws,آغستوس
Ağva,eo6ao1we,آغوا
Ağyar,eo6ao1yer,آغیار
Ağyüz,eo6ao1ywro1,آغیوز
Ağça,eo6ao1xu3h,آغچه
Ağçay,eo6ao1xu3ey,آغچای
Ağçelik,eo6ao1xu3lyk,آغچلیک
Ağın,eo6ao1ybo1,آغین
Ağırbaş,eo6ao1yrbu1eso3,آغیرباش
Ağırtaş,eo6ao1yrteso3,آغیرطاش
Ağış,eo6ao1yso3,آغیش
Aşa,eo6so3h,آشه
Aşan,eo6so3ebo1,آشان
Aşcır,eo6so3xu1yr,آشجیر
Aşina,eo6so3bo1e,آشنا
Aşir,eo6so3yr,آشیر
Aşkan,eo6so3fo2ebo1,آشقان
Aşkar,eso3fo2r,اشقر
Aşkım,aso3fo2m,عشقم
Aşkın,aso3fo2ybo1,عشقین
Aşkın,eo6so3fo2ybo1,آشقین
Aşkınay,eo6so3fo2ybo1ey,آشقینای
Aşkıner,eo6so3fo2bo1 eo5r,آشقن أر
Aşlık,eo6so3lfo2,آشلق
Aşçıoğlu,eo6so3xu1y ewao1ly,آشجی اوغلی
Aşık,aeso3fo2,عاشق
Aşık,aso3fo2,عشق
Aşır,eo6so3yr,آشیر
Aşırım,eo6so3yrym,آشیریم
Abduh,abu1dh||,عبده‌
Abdullah_'ın,abu1dello8h||ko3,عبداللّه‌ڭ
Abdullah,abu1dellh,عبدالله
Abdullah,abu1dellh||,عبدالله‌
Abdullah-il,abu1dellh|| el,عبدالله‌ ال
Abdullah_lar,abu1dellh||lr,عبدالله‌لر
Abdullah_tırlar,abu1dellh||drlr,عبدالله‌درلر
Abdurrahim,abu1d elrxym,عبد الرحیم
Abdurrahman_'a,abu1d elrxmebo1h,عبد الرحمانه
Abdurrahman_'dan,abu1d elrxmebo1dbo1,عبد الرحماندن
Abdurrahman_'dır,abu1d elrxmebo1dr,عبد الرحماندر
Abdurrahman_'lar,abu1d elrxmebo1lr,عبد الرحمانلر
Abdurrahman_'ları,abu1d elrxmebo1lry,عبد الرحمانلری
Abdurrahman_'ların,abu1d elrxmebo1lrko3,عبد الرحمانلرڭ
Abdurrahman_'ı,abu1d elrxmebo1y,عبد الرحمانی
Abdurrahman_'ın,abu1d elrxmebo1ko3,عبد الرحمانڭ
Abdurrahman,abu1d elrxmbo1,عبد الرحمن
Abdurrahman,abu1d elrxmebo1,عبد الرحمان
Abdurrahman-il,abu1d elrxmbo1 el,عبد الرحمن ال
Abdurrahman-ı,abu1d elrxmbo1u4,عبد الرحمنِ
Abdurrahman_dan,abu1d elrxmebo1dbo1,عبد الرحماندن
Abdurrahman_larım,abu1d elrxmebo1lrm,عبد الرحمانلرم
Abdurrahman_ım,abu1d elrxmebo1m,عبد الرحمانم
Abdurrahmân_'ın,abu1d elrxmebo1ko3,عبد الرحمانڭ
Abdurrahmân,abu1d elrxmbo1,عبد الرحمن
Abdurrahmân_a,abu1d elrxmebo1h,عبد الرحمانه
Abdurrahmân_ın,abu1d elrxmebo1ko3,عبد الرحمانڭ
Abdurrahîm_'e,abu1d elrxymh,عبد الرحیمه
Abdurrahîm,abu1d elrxym,عبد الرحیم
Abdurrahîm_den,abu1d elrxymdbo1,عبد الرحیمدن
Abdüh_'ün,abu1dh||ko3,عبده‌ڭ
Abdüh,abu1dh,عبده
Abdüh,abu1dh||,عبده‌
Abdül'ehad,abu1d eleo5xd,عبد الأحد
Abdülaziz,abu1d elaro1yro1,عبد العزیز
Abdülaziz-i,abu1d elaro1yro1u4,عبد العزیزِ
Abdülbaki,abu1d elbu1efo2y,عبد الباقی
Abdülbâki_'yi,abu1d elbu1efo2y||yy,عبد الباقی‌یی
Abdülbâki,abu1d elbu1efo2y,عبد الباقی
Abdülcelil,abu1d elxu1lyl,عبد الجلیل
Abdülehad,abu1d eleo5xd,عبد الأحد
Abdülhadi,abu1d elhedy,عبد الهادی
Abdülhakim,abu1d elxkym,عبد الحکیم
Abdülhakîm_'i,abu1d elxkymy,عبد الحکیمی
Abdülhakîm,abu1d elxkym,عبد الحکیم
Abdülhamid_'den,abu1d elxmyddbo1,عبد الحمیددن
Abdülhamid_'e,abu1d elxmydh,عبد الحمیده
Abdülhamid_'in,abu1d elxmydko3,عبد الحمیدڭ
Abdülhamid,abu1d elxmyd,عبد الحمید
Abdülhâdi,abu1d elhedy,عبد الهادی
Abdülkadir_'i,abu1d elfo2edry,عبد القادری
Abdülkadir_'in,abu1d elfo2edrko3,عبد القادرڭ
Abdülkadir,abu1d elfo2edr,عبد القادر
Abdülkadir-i,abu1d elfo2edru4,عبد القادرِ
Abdülkadir_i,abu1d elfo2edry,عبد القادری
Abdülkadir_zade,abu1d elfo2edrro1edh,عبد القادرزاده
Abdülkadir_zade,abu1d elfo2edrro1edh||,عبد القادرزاده‌
Abdülkadirî,abu1d elfo2edry,عبد القادری
Abdülkadirî_si,abu1d elfo2edrysy,عبد القادریسی
Abdülkahir_'in,abu1d elfo2ehrko3,عبد القاهرڭ
Abdülkahir,abu1d elfo2ehr,عبد القاهر
Abdülkahir-i,abu1d elfo2ehru4,عبد القاهرِ
Abdülkahir-ül,abu1d elfo2ehr el,عبد القاهر ال
Abdülkerim'in,abu1d elkrymko3,عبد الکریمڭ
Abdülkerim,abu1d elkrym,عبد الکریم
Abdülkâdir_'i,abu1d elfo2edry,عبد القادری
Abdülkâdirî,abu1d elfo2edry,عبد القادری
Abdüllatif_'in,abu1d elltyfo1ko3,عبد اللطیفڭ
Abdüllatif,abu1d elltyfo1,عبد اللطیف
Abdülmecid_'de,abu1d elmxu1yddh,عبد المجیدده
Abdülmecid_'den,abu1d elmxu1yddbo1,عبد المجیددن
Abdülmecid_'e,abu1d elmxu1ydh,عبد المجیده
Abdülmecid_'i,abu1d elmxu1ydy,عبد المجیدی
Abdülmecid_'in,abu1d elmxu1ydko3,عبد المجیدڭ
Abdülmecid_'indir,abu1d elmxu1ydko3dr,عبد المجیدڭدر
Abdülmecid_'leri,abu1d elmxu1ydlry,عبد المجیدلری
Abdülmecid_'lerin,abu1d elmxu1ydlrko3,عبد المجیدلرڭ
Abdülmecid,abu1d elmxu1yd,عبد المجید
Abdülmecide,abu1d elmxu1ydh,عبد المجیده
Abdülmuhsin,abu1d elmxsbo1,عبد المحسن
Abdülmuttalib_'i,abu1d elmto8lbu1y,عبد المطّلبی
Abdülmuttalib_'in,abu1d elmto8lbu1ko3,عبد المطّلبڭ
Abdülmuttalib,abu1d elmto8lbu1,عبد المطّلب
Abdülvehhab,abu1d elwho8ebu1u4,عبد الوهّابِ
Abdülvehhab-ı,abu1d elwho8ebu1u4,عبد الوهّابِ
Abdürrezzak,abu1d elrro1o8efo2,عبد الرزّاق
Abâ_'da,abu1edh,عباده
Abâ,abu1e,عبا
Abâdân,ebu1edebo1,ابادان