kabalaşdır,fo2ebu1eleso3dyr
kabalaş,fo2ebu1eleso3
kabar,fo2bu1er
kabar,fo2ebu1er
kabart,fo2ebu1erbo2
kabuklan,fo2ebu1wfo2lebo1
kabullen,fo2bu1wllh||bo1
kaçır,fo2exu3yr
kaçırıl,fo2exu3ryl
kaçırt,fo2exu3yrbo2
kağşa,fo2eao1so3e
kahırlan,fo2hrlebo1
kahret,fo2hreybo2
kak,fo2efo2
kakıl,fo2efo2yl
kalayla,fo2eleyle
kalaylan,fo2eleylebo1
kalaylat,fo2eleylebo2
kalbet,fo2lbu1 eybo2
kalburlan,fo2elbu1wrlebo1
kalburlat,fo2elbu1wrlebo2
kaldır,fo2eldyr
kaldırt,fo2eldyrbo2
kalınlaşdır,fo2elybo1leso3dyr
kalınlaş,fo2elybo1leso3
kalınlat,fo2elybo1lebo2
kalıpla,fo2elbu1le
kalıplan,fo2elbu1lebo1
kalıplat,fo2elbu1lebo2
kalk,fo2elfo2
kalkı,fo2elfo2y
kalkın,fo2elfo2ybo1
kalkış,fo2elfo2yso3
kamaşdır,fo2emeso3dyr
kamaş,fo2emeso3
kamburlaşdır,fo2embu1wrleso3dyr
kamburlaş,fo2embu1wrleso3
kamçıla,fo2emxu3yle
kamşdır,fo2emeso3dyr
kana,fo2ebo1e
kanatlan,fo2ebo1ebo2lebo1
kancala,fo2ebo1xu1h||le
kandilleş,fo2bo1dyllso3
kandır,fo2ebo1dyr
kandırıl,fo2ebo1dyryl
kanıksa,fo2ebo1yfo2se
kanır,fo2elo5o3yr
kanlan,fo2ebo1lebo1
kapa,fo2bu3e
kapa,fo2ebu3e
kapat,fo2ebu3ebo2
kapılandır,fo2ebu3ylebo1dyr
kapılan,fo2ebu3ylebo1
kapışdır,fo2ebu3yso3dyr
kapla,fo2ebu3le
kaplat,fo2ebu3lebo2
kaptır,fo2ebu3dyr
karala,fo2erele
karar,fo2erer
kararla,fo2rerle
kararlaşdır,fo2rerleso3dyr
kararlaş,fo2rerleso3
kararlaştırıl,fo2rerleso3dyryl
karart,fo2ererbo2
karıncalan,fo2erybo1xu1elebo1
karışdırıl,fo2eryso3dyryl
karşıla,fo2erso3yle
karşılan,fo2erso3ylebo1
karşılaşdır,fo2erso3yleso3dyr
karşılaşdırıl,fo2erso3yleso3dyryl
karşılaş,fo2erso3yleso3
kartlan,fo2erbo2lebo1
kartlaş,fo2erbo2leso3
kaşağıla,fo2eso3eao1yle
kasavetlen,fo2sewbo2lbo1
kasdet,fo2zdeybo2
kas,fo2ez
kasıl,fo2ezyl
kat’et,fo2ta eybo2
katılaşdır,fo2ebo2yleso3dyr
katılaş,fo2ebo2yleso3
katıl,fo2ebo2yl
katışdır,fo2ebo2yso3dyr
katla,fo2ebo2le
katlan,fo2ebo2lebo1
katlat,fo2ebo2lebo2
katmerleş,fo2ebo2mrlso3
katranla,fo2trebo1le
katranlat,fo2trebo1lebo2
kavla,fo2ewle
kavra,fo2ewre
kavrul,fo2ewrwl
kavur,fo2ewr
kavur,fo2ewwr
kavurt,fo2ewwrbo2
kavuş,fo2ewwso3
kavuştur,fo2ewwso3dyr
kaybol,fo2ebo5bu1 ewl
kaydet,fo2yd eybo2
kaydır,fo2eydyr
kaydırıl,fo2eydyryl
kay,fo2ey
kaymaklan,fo2eymefo2lebo1
kayna,fo2eybo1e
kaynaş,fo2eybo1eso3
kaynaştır,fo2eybo1eso3dyr
kaynatdır,fo2eybo1ebo2dyr
kaynat,fo2eybo1ebo2
kayrıl,fo2eyryl
kazandır,fo2erebo1dyr
kazanıl,fo2ero1ebo1yl
kazdır,fo2ero1dyr
kazı,fo2ero1y
kazıkla,fo2ero1yfo2le
kazıl,fo2ero1yl
kazın,fo2ero1ybo1
kazıt,fo2ero1ybo2
keçeleş,kxu3h||lso3
kederlen,kdrlbo1
kefele,kfo1h||l
kefenle,kfo1bo1l
kehlelen,khlh||lbo1
kekele,kkh||l
kemir,kmyr
kenetle,kybo1bo2lh||
kenetlen,kybo1bo2lh||bo1
kenetlet,kybo1bo2lh||bo2
kepazele,kbu3ero1h||l
kepazelen,kbu3ero1h||lbo1
kepazelet,kbu3ero1h||lbo2
kert,krbo2
kesbet,ksbu1 eybo2
kesele,kysh||lh||
keselen,kysh||lbo1
kesil,ksyl
keskinlen,kskybo1lh||bo1
keskinleş,kskybo1lso3
kestiril,ksdyryl
kestir,ksdyr
ketmet,kbo2m eybo2
keyiflen,kyfo1lbo1
keyifsizlen,kyfo1sro1lbo1
kibarlaş,kbu1erleso3
kılavuzla,fo2wleao1wro1le
kıldır,fo2yldyr
kilitle,klydlh||
kilitlen,klydlbo1
kilitlet,klydlbo2
kıllan,fo2yllebo1
kımılda,fo2ylmylde
kımıldan,fo2ylmyldebo1
kımıldat,fo2ylmyldebo2
kınan,fo2ybo1ebo1
kınla,fo2ybo1le
kıpırda,fo2ybu3rde
kıpırdan,fo2ybu3rdebo1
kıpırdat,fo2ybu3rdebo2
kirala,krele
kırbaçla,fo2yrbu1exu1le
kırbaçlan,fo2yrbu1exu1lebo1
kırdır,fo2yrdyr
kırıl,fo2yryl
kirişle,kryso3l
kırıt,fo2yrbo2
kırkla,fo2yrfo2le
kirlen,kyrlbo1
kirletdir,kyrlbo2dyr
kirlet,kyrlbo2
kısal,fo2yzel
kısalt,fo2yzelbo2
kıs,fo2yz
kısıl,fo2yzyl
kıskandır,fo2yzfo2ebo1dyr
kıskan,fo2yzfo2ebo1
kıskanıl,fo2yzfo2ebo1yl
kışkırt,fo2yso3fo2yrbo2
kışlat,fo2yso3lebo2
kişne,kyso3bo1h||
kıstır,fo2yzdyr
kıtlaş,fo2ybo2leso3
kitle,kybo2lh||
kitlen,kybo2lh||bo1
kitlet,kybo2lh||bo2
kıvamlan,fo2wemlebo1
kıvır,fo2ywyr
kıvırt,fo2ywyrbo2
kıvra,fo2ywre
kıvran,fo2ywrebo1
kıvrıl,fo2ywryl
kıydır,fo2yydyr
kıy,fo2yy
kıyıl,fo2yyyl
kızar,fo2yro1er
kızart,fo2yro1erbo2
kızış,fo2yro1yso3
koca,fo2wxu1e
kocalaş,fo2wxu1h||leso3
kocal,fo2wxu1el
kocalt,fo2wxu1elbo2
kocat,fo2wxu1ebo2
koçlan,fo2wxu3lebo1
kocun,fo2wxu1bo1
koğdur,fo2wao1dyr
koğ,fo2wao1
koğul,fo2wao1l
kokla,fo2wfo2le
koklaş,fo2wfo2leso3
koklat,fo2wfo2lebo2
kökle,kwklh||
köklen,kwklbo1
kökleş,kwklso3
kokut,fo2wfo2wbo2
kolala,fo2wlele
kolalan,fo2wlelebo1
kolalat,fo2wlelebo2
kolayla,fo2wleyle
kolaylan,fo2wleylebo1
kolaylaşdır,fo2wleyleso3dyr
kolaylaş,fo2wleyleso3
kolaylat,fo2wleylebo2
kolla,fo2wlle
kolonla,fo2wlwbo1le
koltukla,fo2wlbo2wfo2le
kondur,fo2wbo1dwr
kon,fo2wbo1
konukla,fo2wbo1wfo2le
konul,fo2wbo1wl
konuşdur,fo2wbo1wso3dyr
konuş,fo2wbo1wso3
konuşul,fo2wbo1wso3wl
kopar,fo2wbu3er
koparıl,fo2wbu3eryl
kopart,fo2wbu3erbo2
kopçalat,fo2wbu3xu3elebo2
köpekle,kwbu3klh||
kop,fo2wbu3
köpür,kwbu3wr
köpürt,kwbu3wrbo2
kork,fo2wrfo2
korkul,fo2wrfo2l
korkut,fo2wrfo2bo2
körle,kwrlh||
körlen,kwrlbo1
körlet,kwrlbo2
koşdur,fo2wso3dyr
koş,fo2wso3
köstekle,kwsbo2klh||
kösteklen,kwsbo2klh||bo1
koşul,fo2wso3wl
kötüle,kwbo2wlh||
kötülen,kwbo2wlbo1
kötüleşdir,kwbo2wlso3dyr
kötüleş,kwbo2wlso3
kovala,fo2wao1ele
kovala,fo2wwele
kovdur,fo2wao1dyr
kov,fo2wao1
kovul,fo2wao1l
koyulaşdır,fo2wywleso3dyr
koyulaş,fo2wywleso3
koyul,fo2wywl
koyuver,fo2wywwyr
kucakla,fo2wxu1ebo1le
küçükle,kwxu3wkl
küçül,kwxu3wl
küçült,kwxu3wlbo1
kudur,fo2wdwr
kudurt,fo2wdwrbo2
küflen,kwfo1lbo1
küflet,kwfo1lbo2
kükre,ko7wkrh||
kulaçla,fo2wlexu1le
kullandır,fo2wllebo1dyr
kullan,fo2wllebo1
kullanıl,fo2wllebo1yl
kundakla,fo2wbo1defo2le
kurcala,fo2wrxu1ele
kurdur,fo2wrdyr
küre,kwrh||
kürele,kwrh||l
kurşunla,fo2wrso3wbo1le
kurşunlan,fo2wrso3wbo1lebo1
kurtar,fo2wrbo2er
kurtarıl,fo2wrbo2eryl
kurtlandır,fo2wrbo2lebo1dyr
kurtlan,fo2wrbo2lebo1
kurtul,fo2wrbo2wl
kürü,kwrw
kurula,fo2wrwle
kurulan,fo2wrwlebo1
kurul,fo2wrwl
kurutul,fo2wrwbo2yl
kuşakla,fo2wso3efo2le
kuşan,fo2wso3ebo1
kusdur,fo2wzdyr
kus,fo2wz
kuşkulan,fo2wso3fo2wlebo1
küs,kws
küstür,kwsdyr
kutlan,fo2wbo2lebo1
kütle,kwbo2lh||
kütürde,kwbo2wrdh||
kuvvetlendir,fo2wbo2lbo1dyr
kuvvetlen,fo2wbo2lbo1
kuzula,fo2wro1wle
